asn,name,class,cc
AS10112,THE VALUE HOSTED (PVT.) LIMITED,Unknown,PK
AS10113,Eftel Limited.,Eyeball,AU
AS10114,PT.Medialintas Antar Buana,Unknown,ID
AS10115,Australian Taxation OAffice,Unknown,AU
AS10116,Hutchison Telephone Company Limited,Unknown,HK
AS10117,Viewqwest Singapore Pte Ltd Broadband Border AS,Unknown,SG
AS10118,Hutchison Telephone Company Limited,Eyeball,HK
AS10119,ISW Head Office in Hobart,Unknown,AU
AS1012,Moe BGP Co.,Unknown,US
AS10120,IBM Sinapore Server Farm,Unknown,SG
AS10121,RISK MANAGEMENT SOLUTIONS INDIA PRIVATE LIMITED,Unknown,IN
AS10122,NETSTAR (SG) PTE. LTD.,Unknown,SG
AS10123,Flytxt Mobile Solutions Pvt Ltd,Unknown,IN
AS10124,Amazon Data Services Japan KK,Unknown,JP
AS10125,IGT SOLUTIONS PRIVATE LIMITED,Unknown,IN
AS10126,Taiwan Internet Gateway,Unknown,TW
AS10127,CLSA Ltd,Unknown,HK
AS10128,Optus Customer Network,Unknown,AU
AS10129,Salomon Smith Barney Australia Pty Ltd,Unknown,AU
AS1013,"Bernardi Family Investments, LLC",Unknown,US
AS10130,FSM Telecommunications Corporation,Unknown,FM
AS10131,Telecom Cook Islands,Unknown,CK
AS10132,Towngas Telecommunications Fixed Network Limited,Unknown,HK
AS10133,Chief Telecom Inc.,Unknown,TW
AS10134,We are an ASP/ISP,Unknown,AU
AS10135,EASPNET Inc.,Unknown,TW
AS10136,EXPRESS CONNECT,Unknown,HK
AS10137,PT Telkom Satelit Indonesia,Unknown,ID
AS10138,iBasis-Sydney ICO,Unknown,HK
AS10139,"Smart Broadband, Inc.",Eyeball,PH
AS1014,NetLab Global,Unknown,US
AS10140,SingTel GPRS Roaming Exchange,Unknown,SG
AS10141,DFNN Group of Companies,Unknown,PH
AS10142,Well.Com Pre-Press Services,Unknown,AU
AS10143,Exetel Pty Ltd,Eyeball,AU
AS10144,Eclipse Telecomunications Australia,Unknown,AU
AS10145,SecureIP ITS,Unknown,AU
AS10146,Ford Motor Company,Unknown,SG
AS10147,Cloud Network Services (HK) Ltd,Unknown,HK
AS10148,The University of Melbourne,Unknown,AU
AS10149,SINGAPORE TELECOMMUNIATIONS LIMITED,Unknown,SG
AS1015,Server Starter Host LLC,Unknown,US
AS10150,Optus Customer Network,Unknown,AU
AS10152,NEC Australia Pty Ltd,Unknown,AU
AS10153,Yuan Ze University Communications Research Center Network,Unknown,TW
AS10154,DUNAMU,Unknown,KR
AS10155,KOSME,Unknown,KR
AS10156,Seoul National University of Education,Unknown,KR
AS10157,NHN Bugs,Unknown,KR
AS10158,Kakao Corp,Unknown,KR
AS10159,Korea Aerospace University,Unknown,KR
AS1016,"Technotic Sports, LLC",Unknown,US
AS10160,KDDI KOREA,Unknown,KR
AS10161,QIA,Unknown,KR
AS10162,SNUH,Unknown,KR
AS10163,"HANKOOK TIRE CO.,LTD.",Unknown,KR
AS10164,SK Broadband Co Ltd,Eyeball,KR
AS10165,KOREA CUSTOMS SERVICE,Unknown,KR
AS10166,Korea Water Resources Corporation,Unknown,KR
AS10167,HANVIT BANK,Unknown,KR
AS10168,Standard Chartered,Unknown,KR
AS10169,AMOREPACIFIC,Unknown,KR
AS10170,The Bank of Korea,Unknown,KR
AS10171,SKTelink,Unknown,KR
AS10172,KYOBO BOOK CENTER,Unknown,KR
AS10173,KSNET.Inc,Unknown,KR
AS10174,Munhwa Broadcasting Corporation,Unknown,KR
AS10175,Kumho Cable,Eyeball,KR
AS10176,Daejon Metropolitan Office of Education,Unknown,KR
AS10177,"FUBON HYUNDAI LIFE INSURANCE CO.,LTD",Unknown,KR
AS10178,Kakaopay Corp,Unknown,KR
AS10179,Daehan Investment Trust Securities,Unknown,KR
AS1018,Coneris d.o.o.,Unknown,EU
AS10180,Duksung Womens University,Unknown,KR
AS10181,Korea Register of Shipping,Unknown,KR
AS10183,Korea Culture Information Service Agency,Unknown,KR
AS10184,Korean Federation of Community Credit Cooperatives,Unknown,KR
AS10185,Hana Bank Co.,Unknown,KR
AS10186,Korean Red Cross,Unknown,KR
AS10187,Korea Information Society Developement Institute,Unknown,KR
AS10188,Songdo Chadwick international School,Unknown,KR
AS10189,Hyundai Movex,Unknown,KR
AS1019,Sotera Health,Unknown,US
AS10190,Joongbu University,Unknown,KR
AS10191,SEEGENE MEDICAL FOUNDATION,Unknown,KR
AS10192,"kiwoom Securities.co.,Ltd",Unknown,KR
AS10193,BUSANBANK,Unknown,KR
AS10194,"Doosan Enerbility co., LTD.",Unknown,KR
AS10195,HAIonNet,Unknown,KR
AS10196,KOOKMIN BANK,Unknown,KR
AS10197,Chonnam National University,Unknown,KR
AS10198,Catholic University of Pusan,Unknown,KR
AS10199,Tata Communications Ltd,Unknown,IN
AS102,U.S. National Science Foundation,Unknown,US
AS1020,Midwest Cable,Unknown,US
AS10200,The Digital Lab 2007 Limited,Unknown,NZ
AS10201,Dishnet Wireless Limited. Broadband Wireless,Unknown,IN
AS10202,BOC International Holdings Limited,Unknown,HK
AS10203,Datacom MetroIX,Unknown,AU
AS10204,Arcnet NTT MSC ISP,Unknown,MY
AS10205,ON.CC(HK) LIMITED,Unknown,HK
AS10206,China Unicom Zhongwei Cloud,Unknown,CN
AS10207,Intervolve Pty Ltd,Unknown,AU
AS10208,PT. Millenium Internetindo,Unknown,ID
AS10209,Japan HUB and Data Center,Unknown,JP
AS1021,CV Tech,Unknown,US
AS10210,Over the Wire Pty Ltd,Unknown,AU
AS10211,iBasis Malaysia-KUL ICO,Unknown,MY
AS10212,China Enterprise ICT Solutions Limited,Eyeball,CN
AS10213,Workcover Corporation,Unknown,AU
AS10214,Pentanet Limited,Unknown,AU
AS10215,Microland Limited. IT Infra Service Provider. India,Unknown,IN
AS10216,NM Rothschild & Sons,Unknown,AU
