asn,name,cc,real_cone_size,observed_tree_size,secure_pct,vulnerable_pct,vuln_count
1299,Arelion (fka. Telia Carrier),US,60908,23661161,5.026663738098058,68.75199826415957,16267521
146943,Tier 4 Cloud Services,IN,25,8,0.0,100.0,8
61568,ALOO TELECOM - FSF TECNOLOGIA SA,BR,904,101972328298128150679775242,5.026026411037328,68.75048878583372,70106474131258145507956311
28126,BRISANET SERVICOS DE TELECOMUNICACOES S.A,BR,134,1154465731579315430385496243238889,5.026026411037328,68.75048878583372,793700833325730540400221289955655
19551,Incapsula Inc,US,163,1692666222665706536977525,5.026026411037328,68.75048878583372,1163716301595381900739160
4808,China Unicom Beijing Province Network,CN,64,71,0.0,91.54929577464789,65
4812,China Telecom Shanghai Province Network,CN,43,718,0.4178272980501393,80.64066852367688,579
17621,China Unicom Shanghai network,CN,34,674,0.44510385756676557,80.71216617210682,544
4847,China Telecom Beijing Province Network,CN,68,75,0.0,94.66666666666667,71
18734,"Operbes, S.A. de C.V.",MX,113,399,2.0050125313283207,71.42857142857143,285
13999,"Mega Cable, S.A. de C.V.",MX,35,86,6.976744186046512,54.65116279069767,47
8151,UNINET,MX,118,135,0.0,81.48148148148148,110
13237,euNetworks GmbH,DE,333,557,3.7701974865350087,51.16696588868941,285
10021,"KVH Co.,Ltd",JP,16,64,1.5625,54.6875,35
3491,"PCCW Global, Inc.",US,20161,8478585693543635804853791,5.026026411037328,68.75048878583372,5829069106437019984479369
23947,PT Mora Telematika Indonesia Tbk,ID,320,4155357559971267999890167161,5.026026411037328,68.75048878583372,2856828633279340555773333667
7018,"AT&T Enterprises, LLC",US,2684,159056660489002755305657517376034086,5.026026411037328,68.75048878583372,109352231532613462327884839699807900
28220,Alares Internet,BR,139,158,5.063291139240507,75.9493670886076,120
26615,TIM S/A,BR,834,161456096049962827522311792,5.026026411037328,68.75048878583372,111001855208874623335915067
812,Rogers Communications Canada Inc.,CA,239,354756277,5.026029180027729,68.75067526994033,243897336
17378,"TierPoint, LLC",US,136,149,0.0,56.375838926174495,84
2116,GLOBALCONNECT AS,NO,105,331,27.492447129909365,30.815709969788518,102
11432,Telium Telecomunicações Ltda,BR,280,1154465731579315430385496243261352,5.026026411037328,68.75048878583372,793700833325730540400221289974318
264492,"TECHCOM COMUNICACAO, COMERCIO E SERVICOS LTDA-ME",BR,6,6,0.0,100.0,6
20055,Ziply Fiber,US,173,718,0.1392757660167131,53.48189415041783,384
49600,"NEAR IP, S.L.",GB,76,336,0.0,63.988095238095234,215
852,TELUS Communications Inc.,CA,257,1174,7.7512776831345835,49.829642248722315,585
58945,Virgo Communication Ltd,BD,55,67,0.0,95.52238805970148,64
134734,Velocity Networks Limited,BD,10,12,0.0,100.0,12
34984,Superonline Iletisim Hizmetleri A.S.,TR,505,3152311788391328272461,5.026026411037328,68.75048878583372,2167229762572494717832
9121,Turk Telekom,TR,489,6304623576782656546246,5.026026411037328,68.75048878583372,4334459525144989436744
7459,"Grande Communications Networks, LLC",US,72,3178448,5.023520913351422,68.7864643373118,2186342
28431,RAUL DUARTE URITA,MX,5,5,0.0,80.0,4
41327,Fiber Telecom S.p.A.,IT,183,245,33.87755102040816,23.26530612244898,57
4764,Aussie Broadband,AU,177,193,33.160621761658035,30.569948186528496,59
136557,Host Universal Pty Ltd,AU,129,2123715466789040,5.026026411049203,68.75048878577373,1460064763836541
23367,"Adaptive Data Networks, LLC",US,6,6,16.666666666666664,66.66666666666666,4
12389,Rostelecom PJSC,RU,3883,14060353418946,5.026026405614877,68.75048879472355,9666561701791
8359,MTS PJSC,RU,950,2160511671351293086897302376438701,5.026026411037328,68.75048878583372,1485362334328999561233024191560780
5056,Aureon Network Services,US,86,200,1.0,63.0,126
208972,GIBIRNet Iletisim,RU,154,159059072726601622569409299738697839,5.026026411037328,68.75048878583372,109353889957753359230791862092277434
212477,RoyaleHosting B.V.,NL,55,220,0.0,60.45454545454545,133
3223,Voxility LLP,US,470,26377,4.761724229442317,69.46961367858361,18324
25645,"Momentum Telecom, Inc.",US,38,48,10.416666666666668,45.83333333333333,22
32098,Flō Networks (Transtelco Inc.),MX,276,1226,3.3442088091353996,65.66068515497552,805
7713,PT Telkom Indonesia Tbk,ID,726,32248652691180386404,5.0260264110373365,68.7504887858337,22171106352032428318
55685,PT Jala Lintas Media,ID,157,64497305382360773823,5.0260264110373365,68.7504887858337,44342212704064857468
22773,Cox Communications Inc.,US,507,746,28.9544235924933,21.983914209115284,164
12586,GHOSTnet GmbH,DE,44,25,0.0,52.0,13
35297,Dataline LLC,UA,472,2475,6.909090909090909,76.72727272727272,1899
199995,Omega Telecom LLC,UA,244,571,6.47985989492119,73.73029772329247,421
38195,Superloop,AU,409,12892144419,5.026028059731123,68.75047668514642,8863410743
3255,Ukrainian Academic and Research Network,UA,313,5863,8.357496162374211,71.53334470407641,4194
21263,TeleData GmbH,DE,13,13,92.3076923076923,0.0,0
33843,Dr.-Ing. Nepustil & Co. GmbH Internet Service Center ...,DE,12,12,8.333333333333332,41.66666666666667,5
3320,Deutsche Telekom AG,DE,12418,1692666222665706532211816,5.026026411037328,68.75048878583372,1163716301595381897461052
5405,Inter.link GmbH,DE,1899,89383413288710351812047728043,5.026026411037328,68.75048878583372,61451533529450222934188694880
3216,Vimpelcom PJSC,RU,2705,72276331662,5.026026517211705,68.75049021217161,49690332325
42473,Anexia Cloud Solutions GmbH,BR,37,2410162449725893368948296774600,5.026026411037328,68.75048878583372,1656998464719175737116860421933
49808,Energie AG Oberoesterreich Services und Digital Solut...,AT,23,23,4.3478260869565215,73.91304347826086,17
33891,Core-Backbone GmbH,DE,1838,799779,5.037891717586984,68.77349867901007,550036
22724,PUNTONET S.A.,EC,12,36,5.555555555555555,69.44444444444444,25
30844,Liquid Intelligent Technologies,GB,489,4500603083450064653201612955182757,5.026026411037328,68.75048878583372,3094186618182223592779637144243678
18002,World Phone Internet Services Pvt. Ltd,IN,39,49,0.0,100.0,49
11096,FloridaNet,US,46,47,0.0,78.72340425531915,37
6147,Telefonica del Peru S.A.A.,PE,19,33,6.0606060606060606,48.484848484848484,16
58115,SwissIX Internet Exchange,CH,12018,394043072758191960182032187623795573,5.026026411037328,68.75048878583372,270906538547975393673860353646802792
13030,Init7 (Switzerland) Ltd.,CH,272,2116,4.44234404536862,76.55954631379961,1620
6830,Liberty Global Europe Holding B.V.,NL,3315,9237102156200909239818946546712444,5.026026411037328,68.75048878583372,6350552882034911420017852254890166
3303,Swisscom (Schweiz) AG,CH,503,55433078512220019,5.026026411040192,68.75048878582699,38110512426182493
4837,China Unicom Backbone,CN,163,639,0.4694835680751174,80.43818466353677,514
36944,Ubuntunet Alliance For Research and Education Networking,GB,20,27,48.148148148148145,29.629629629629626,8
37100,SEACOM Limited,DE,653,646301802429832,5.026026410992512,68.75048878586887,444335648202390
56258,PT PGAS Telekomunikasi Nusantara,ID,71,240,5.416666666666667,85.83333333333333,206
7474,SingTel Optus Pty Ltd,AU,1052,2818,2.7679205110007095,66.46557842441447,1873
15626,GREEN FLOID LLC,UA,12,13,23.076923076923077,69.23076923076923,9
47232,ISP Alliance a.s.,CZ,75,1125,17.866666666666667,50.84444444444445,572
13768,Aptum Technologies,CA,29,42,2.380952380952381,52.38095238095239,22
16904,Arvig Enterprises Inc.,US,38,38,7.894736842105263,65.78947368421053,25
36374,"Stellar Association, LLC",US,6,7,28.57142857142857,57.14285714285714,4
30781,Free Pro SAS,FR,203,448,33.25892857142857,23.883928571428573,107
6568,Entel Bolivia,BO,30,28,7.142857142857142,57.14285714285714,16
27882,Telefónica Celular de Bolivia S.A.,BO,17,15,0.0,60.0,9
22541,MEGALINK S.R.L.,BO,11,10,0.0,60.0,6
26210,AXS Bolivia S. A.,BO,13,12,33.33333333333333,0.0,0
27951,Media Commerce Partners S.A,CO,65,139,2.158273381294964,76.2589928057554,106
34927,iFog GmbH,DE,709,191272910194246700745076763367881863,5.026026411037328,68.75048878583372,131501060673433391874483281184362837
48716,PS Internet Company LLP,KZ,9,18,0.0,83.33333333333334,15
