asn,cone,verdict,secure_parents,parent_count
269862,0,STUB: VULNERABLE UNSTABLE,"[27843, 262253, 64146, 7195, 3356]",6
5647,0,STUB: VULNERABLE STABLE,"[3356, 46887]",2
63402,0,STUB: VULNERABLE STABLE,"[17511, 4713, 7922, 23314, 22773, 3257, 3356, 33661]",8
22856,0,STUB: VULNERABLE STABLE,[3356],2
53901,0,STUB: VULNERABLE STABLE,"[3356, 36149]",2
20029,0,STUB: VULNERABLE STABLE,"[8002, 6461, 6939, 3356, 3549]",5
53934,0,STUB: VULNERABLE STABLE,"[3356, 4181]",3
19936,0,STUB: VULNERABLE STABLE,"[33668, 3257, 3356, 33657]",5
266986,0,STUB: VULNERABLE STABLE,"[6939, 3356]",4
13882,0,STUB: VULNERABLE STABLE,"[3356, 701, 702]",3
398643,0,STUB: VULNERABLE STABLE,[3356],2
26517,0,STUB: VULNERABLE STABLE,"[174, 3356, 701]",5
14818,0,STUB: VULNERABLE STABLE,"[11996, 3356]",2
16789,0,STUB: VULNERABLE STABLE,"[577, 2914, 8220, 174, 22773, 6939, 3356, 6461]",12
396162,0,STUB: VULNERABLE STABLE,"[13536, 202, 3356, 33662]",4
12130,0,STUB: VULNERABLE STABLE,"[2914, 3356, 6461]",5
46269,0,STUB: VULNERABLE STABLE,"[46887, 7474, 13335, 9498, 3356, 701]",10
399665,0,STUB: VULNERABLE STABLE,"[33652, 3356]",2
400046,0,STUB: VULNERABLE STABLE,"[11426, 33667, 7018, 3356]",5
54324,0,STUB: VULNERABLE STABLE,"[3356, 6461, 174]",4
22680,0,STUB: VULNERABLE STABLE,"[7018, 3356]",3
4867,0,STUB: VULNERABLE STABLE,"[16760, 3356, 174]",3
19701,0,STUB: VULNERABLE STABLE,"[174, 9498, 3356, 6461]",6
46378,0,STUB: VULNERABLE STABLE,"[3356, 6461, 174, 4213]",4
29864,0,STUB: VULNERABLE STABLE,"[33660, 3356]",2
33116,0,STUB: VULNERABLE STABLE,"[7795, 3356]",2
213176,0,STUB: VULNERABLE STABLE,"[2914, 8551, 8220, 174, 1680, 6939, 3356, 6461]",10
394599,0,STUB: VULNERABLE STABLE,"[3356, 6181]",2
198605,0,STUB: VULNERABLE STABLE,"[29208, 3257, 3356]",6
32990,0,STUB: VULNERABLE UNSTABLE,"[16904, 3356]",2
27281,0,STUB: VULNERABLE STABLE,"[207044, 174, 3356, 8220, 6461]",5
46889,0,STUB: VULNERABLE STABLE,"[7018, 18712, 3257, 3356]",5
22607,0,STUB: VULNERABLE STABLE,"[209, 3356, 15164]",3
397157,0,STUB: VULNERABLE STABLE,"[33660, 3356]",2
24232,0,STUB: VULNERABLE STABLE,"[2914, 6663, 8220, 174, 3356]",5
398969,0,STUB: VULNERABLE STABLE,"[8002, 174, 22773, 3257, 3356, 6461]",7
26219,0,STUB: VULNERABLE STABLE,"[3356, 13367]",2
6245,0,STUB: VULNERABLE STABLE,[3356],2
17321,0,STUB: VULNERABLE STABLE,"[7018, 3356, 11966]",3
270980,0,STUB: VULNERABLE STABLE,"[3356, 10429]",3
262578,0,STUB: VULNERABLE STABLE,[3356],7
201935,0,STUB: VULNERABLE STABLE,"[8612, 3491, 3356]",4
5733,0,STUB: VULNERABLE STABLE,[3356],2
40686,0,STUB: VULNERABLE STABLE,[3356],3
13314,0,STUB: VULNERABLE STABLE,[3356],2
398908,0,STUB: VULNERABLE STABLE,"[7795, 3356]",2
15234,0,STUB: VULNERABLE STABLE,"[209, 3356, 174, 13367]",4
400138,0,STUB: VULNERABLE STABLE,"[8220, 1299, 6939, 3356, 6461]",6
6253,0,STUB: VULNERABLE STABLE,"[7018, 174, 3356]",8
398160,0,STUB: VULNERABLE STABLE,[3356],2
206,0,STUB: VULNERABLE STABLE,"[2688, 7018, 3356]",4
