asn,cone,verdict,secure_parents,parent_count
37721,60817,VULNERABLE (Atlas Verified),"[12956, 2914, 1273, 5511, 6762, 174, 6830, 1299, 6453, 3320, 3257, 6939, 3356, 6461]",14
35280,53251,PARTIAL: VULNERABLE (Mixed),"[12956, 2914, 1299, 6453, 3356]",6
17639,43164,PARTIAL: VULNERABLE (Mixed),"[3491, 5511, 8220, 174, 1299, 15412, 8757, 6939, 3356, 701]",16
34549,35521,PARTIAL: VULNERABLE (Mixed),"[2914, 5511, 174, 6830, 1299, 3320, 3257]",8
3216,35392,PARTIAL: VULNERABLE (Mixed),"[6762, 174, 1299, 6453, 1273, 3356]",8
34927,34524,PARTIAL: VULNERABLE (Mixed),"[6762, 174, 6830, 6204, 1299, 3257, 6939, 3356, 5405]",11
33891,33704,PARTIAL: VULNERABLE (Mixed),"[1299, 3320, 3257, 3356]",6
48362,33110,PARTIAL: VULNERABLE (Mixed),[1299],4
20485,28956,PARTIAL: VULNERABLE (Mixed),"[3491, 6762, 174, 1299, 6453, 3356]",7
12779,26575,PARTIAL: VULNERABLE (Mixed),"[2914, 174, 3257]",5
213241,25054,PARTIAL: VULNERABLE (Mixed),"[6696, 50309]",3
50300,22915,PARTIAL: VULNERABLE (Mixed),"[2914, 174, 3257, 6939, 3356]",6
29632,22186,PARTIAL: VULNERABLE (Mixed),"[2914, 1299]",3
3214,21983,PARTIAL: VULNERABLE (Mixed),"[50629, 5511, 6830, 60144, 1299, 6453, 6939]",7
48185,21632,PARTIAL: VULNERABLE (Mixed),"[2914, 1299, 6939, 3356]",6
56655,14403,PARTIAL: VULNERABLE (Mixed),"[1299, 6939]",3
212024,14225,PARTIAL: VULNERABLE (Mixed),[20473],2
25091,13758,PARTIAL: VULNERABLE (Mixed),"[5511, 6762, 1299, 6453, 3257, 3356]",8
1836,13396,PARTIAL: VULNERABLE (Mixed),"[34309, 5511, 174, 1299, 3356]",7
56662,12868,PARTIAL: VULNERABLE (Mixed),[20473],4
31133,11436,PARTIAL: VULNERABLE (Mixed),"[6762, 174, 1299, 6939]",6
12389,11001,VULNERABLE (Atlas Verified),"[3491, 1273, 5511, 6762, 174, 1299, 3257, 6939]",11
49673,8979,PARTIAL: VULNERABLE (Mixed),[50384],6
208972,8197,PARTIAL: VULNERABLE (Mixed),[6204],6
38001,8019,PARTIAL: VULNERABLE (Mixed),"[2914, 3491, 174, 6939]",8
7713,6914,PARTIAL: VULNERABLE (Mixed),"[2914, 3491, 5511, 6762, 174, 1299, 6453, 57463, 3257, 6939, 3356, 701]",15
8966,6882,PARTIAL: VULNERABLE (Mixed),"[2914, 3491, 8452, 1273, 5511, 6762, 174, 1299, 3257, 3356, 4637]",14
1103,6484,PARTIAL: VULNERABLE (Mixed),"[6830, 20562, 3257]",5
58057,6101,PARTIAL: VULNERABLE (Mixed),"[174, 50673, 20473, 6939, 51519]",17
8218,6055,PARTIAL: VULNERABLE (Mixed),"[1299, 6461]",3
9304,5090,PARTIAL: VULNERABLE (Mixed),"[2914, 1273, 9318, 5511, 6762, 174, 15412, 6453, 3257, 9498, 6939, 4766]",15
52468,4916,PARTIAL: VULNERABLE (Mixed),"[12956, 52320, 5511, 6762, 174, 1299, 22356, 6453, 3356]",12
13030,4802,VULNERABLE (Atlas Verified),"[3320, 1299]",2
15830,4331,PARTIAL: VULNERABLE (Mixed),"[2497, 2914, 12956, 1221, 6762, 9498, 37100, 1299, 13335, 3257, 4826, 6939, 3356, 4637]",17
38255,4182,VULNERABLE STABLE,[23911],1
394256,3133,PARTIAL: VULNERABLE (Mixed),"[63213, 174, 6939]",7
32787,3123,PARTIAL: VULNERABLE (Mixed),"[1299, 9498, 3356, 4637, 12956, 3491, 174, 7474, 6453, 6461, 1221, 4826, 2914, 7018, 6762, 3320, 1273]",22
14907,2885,PARTIAL: VULNERABLE (Mixed),"[12956, 2914, 5511, 7195, 6830, 1136, 1299, 6453, 3320, 6939, 3356, 5405]",14
16735,2578,PARTIAL: VULNERABLE (Mixed),"[8167, 6762, 174, 3356]",5
4755,2493,PARTIAL: VULNERABLE (Mixed),"[9498, 6453]",2
9930,2409,PARTIAL: VULNERABLE (Mixed),"[2914, 1299, 4788, 6453, 6939, 3356]",8
23764,2274,PARTIAL: VULNERABLE (Mixed),"[12956, 2914, 3491, 6762, 174, 1299, 6453, 58453, 3320, 3257, 6939, 3356]",13
202365,2186,PARTIAL: VULNERABLE (Mixed),"[50673, 208594, 6939]",4
8359,2073,PARTIAL: VULNERABLE (Mixed),[1299],3
52025,2045,PARTIAL: VULNERABLE (Mixed),"[835, 35133, 174, 61049, 1299, 3257, 6939, 20473]",16
1764,1927,PARTIAL: VULNERABLE (Mixed),"[2914, 174, 1299, 3257, 6939, 3356]",7
53062,1473,PARTIAL: VULNERABLE (Mixed),"[52320, 7195, 6762, 57463, 174, 6939, 3356]",13
14840,1434,PARTIAL: VULNERABLE (Mixed),"[8167, 6762, 174, 57463, 3356]",5
29075,1293,PARTIAL: VULNERABLE (Mixed),"[2914, 5511, 6762, 174, 44530, 1299, 6939]",8
29504,1223,PARTIAL: VULNERABLE (Mixed),"[39392, 6939]",3
20764,1205,PARTIAL: VULNERABLE (Mixed),"[174, 6939, 3356]",5
1257,1112,PARTIAL: VULNERABLE (Mixed),"[12956, 2914, 174, 1299, 6453, 3356]",7
4230,1081,PARTIAL: VULNERABLE (Mixed),"[8167, 1031, 6762, 174, 1299, 6453, 3257, 7738, 3356, 701]",11
58717,1007,PARTIAL: VULNERABLE (Mixed),"[2914, 6762, 174, 6453, 58453, 9498, 6939]",11
21859,968,PARTIAL: VULNERABLE (Mixed),"[8452, 5511, 1299, 9498, 7195, 3356, 4766, 12956, 3491, 174, 4788, 6453, 15412, 3257, 6461, 1221, 2914, 32098, 6762]",43
4635,911,PARTIAL: VULNERABLE (Mixed),"[136106, 4788, 9269]",6
37468,886,VULNERABLE (Atlas Verified),"[12956, 2914, 174, 1299, 6453, 3257, 3356]",8
3223,847,PARTIAL: VULNERABLE (Mixed),"[12956, 2914, 3491, 8708, 5511, 6762, 174, 7922, 1299, 3356]",11
35598,847,PARTIAL: VULNERABLE (Mixed),"[174, 1299, 6939]",8
9049,833,PARTIAL: VULNERABLE (Mixed),[1299],6
13786,824,PARTIAL: VULNERABLE (Mixed),"[2914, 174, 22356, 3356]",5
61832,821,PARTIAL: VULNERABLE (Mixed),"[12956, 2914, 1031, 264409, 3356, 10429]",9
12741,802,PARTIAL: VULNERABLE (Mixed),"[174, 50263, 57463, 3356, 6461]",5
60068,789,PARTIAL: VULNERABLE (Mixed),"[8452, 5511, 7303, 1299, 7195, 3356, 4637, 12956, 3491, 9507, 174, 6830, 6453, 3257, 1221, 22356, 39392, 2914, 7018, 6762, 7922]",26
201054,773,PARTIAL: VULNERABLE (Mixed),"[51310, 202386]",8
55720,675,PARTIAL: VULNERABLE (Mixed),"[2914, 3491, 6762, 174, 3257, 6939, 4637, 142591]",13
6327,604,VULNERABLE (Atlas Verified),"[577, 174, 1299, 6453, 3257, 3356]",6
9583,596,PARTIAL: VULNERABLE (Mixed),"[2914, 174, 1299, 3320]",9
4800,592,PARTIAL: VULNERABLE (Mixed),"[2914, 5511, 174, 1299, 6453, 58453, 6939]",11
61568,583,PARTIAL: VULNERABLE (Mixed),"[2914, 1031, 6762, 174, 264409, 6939, 10429]",9
30844,537,PARTIAL: VULNERABLE (Mixed),"[3491, 5511, 6762, 37100, 174, 6453, 3257, 3356]",9
9121,535,VULNERABLE (Atlas Verified),"[2914, 1299, 3320, 3257, 3356]",5
28917,517,PARTIAL: VULNERABLE (Mixed),"[6762, 3257, 6939]",5
20804,484,PARTIAL: VULNERABLE (Mixed),"[2914, 6762, 5617, 1299, 6453, 50263]",6
61292,467,PARTIAL: VULNERABLE (Mixed),[24482],2
23947,457,PARTIAL: VULNERABLE (Mixed),"[174, 58453, 3257, 6939]",9
267613,453,PARTIAL: VULNERABLE (Mixed),"[52320, 2914, 8167, 6762, 174, 7738, 3356, 10429]",9
206499,443,PARTIAL: VULNERABLE (Mixed),[6939],2
19551,433,PARTIAL: VULNERABLE (Mixed),"[5511, 1680, 1299, 9498, 12956, 135069, 4637, 3491, 4648, 174, 7474, 4788, 3257, 1221, 4826, 3549, 2914, 32098, 8551, 6762, 3320]",37
14789,428,PARTIAL: VULNERABLE (Mixed),"[13576, 55944, 1680, 271253, 13335, 3737, 4651, 9534, 33874, 28118, 11232, 11260, 64126]",64
3326,426,PARTIAL: VULNERABLE (Mixed),"[174, 1299, 6939]",5
50607,421,PARTIAL: VULNERABLE (Mixed),"[174, 1299, 9141, 3257, 6939, 3356]",7
138840,416,PARTIAL: VULNERABLE (Mixed),"[24482, 174, 6453, 6939]",7
54004,408,PARTIAL: VULNERABLE (Mixed),"[6939, 6461]",3
18229,401,PARTIAL: VULNERABLE (Mixed),[9498],5
7717,386,VULNERABLE STABLE,[136106],2
50509,375,PARTIAL: VULNERABLE (Mixed),"[6762, 174, 6939, 5405]",7
37662,367,PARTIAL: VULNERABLE (Mixed),"[5511, 174, 1299, 9498, 6939]",5
45820,348,VULNERABLE STABLE,[9498],4
29076,348,PARTIAL: VULNERABLE (Mixed),"[1299, 6939]",5
54994,345,PARTIAL: VULNERABLE (Mixed),"[7195, 4651, 58453, 23655, 7303, 1680, 12956, 4766, 174, 4788, 3257, 4818, 135905, 24309, 8452, 1299, 9498, 3356, 18209, 6453, 9534, 32097, 2914, 399728, 3462, 7049, 3491, 2497, 2516, 55805]",94
10075,340,PARTIAL: VULNERABLE (Mixed),"[6453, 9498, 6939]",6
28283,340,PARTIAL: VULNERABLE (Mixed),"[2914, 8167, 174, 264409, 7195, 3356, 10429]",9
34984,338,PARTIAL: VULNERABLE (Mixed),"[3491, 6762, 6453, 3257, 3356]",6
16276,337,VULNERABLE (Atlas Verified),"[12956, 2914, 4637, 5511, 6762, 174, 5617, 7922, 1299, 6453, 3320, 1273, 3356, 6461]",18
2764,327,PARTIAL: VULNERABLE (Mixed),"[4826, 1221]",3
212895,326,PARTIAL: VULNERABLE (Mixed),"[35133, 6939, 5405]",7
29119,319,PARTIAL: VULNERABLE (Mixed),"[12956, 2914, 5511, 6762, 174, 1299, 6453, 50263, 3257, 3356]",11
2119,319,PARTIAL: VULNERABLE (Mixed),"[12956, 1299, 6453, 3320, 3356]",6
55410,319,PARTIAL: VULNERABLE (Mixed),"[3491, 174, 1273, 9498, 3356]",7
34872,317,PARTIAL: VULNERABLE (Mixed),"[60144, 50673, 6939, 35133]",6
7473,315,PARTIAL: VULNERABLE (Mixed),"[1299, 6453, 58453, 6939, 3356, 6461]",7
24785,311,PARTIAL: VULNERABLE (Mixed),"[5511, 6830, 20562, 1299, 1273, 12956]",6
139009,310,PARTIAL: VULNERABLE (Mixed),"[174, 6453, 58453, 9498, 6939]",8
18403,307,PARTIAL: VULNERABLE (Mixed),"[2914, 3491, 5511, 1299, 6453, 58453, 4826, 3356, 4637]",15
38158,298,PARTIAL: VULNERABLE (Mixed),"[6939, 1299, 6453]",5
55655,288,PARTIAL: VULNERABLE (Mixed),"[24482, 6939, 58453]",4
62081,283,PARTIAL: VULNERABLE (Mixed),"[6762, 174, 1299, 9141, 3257, 6939, 3356]",8
52965,281,PARTIAL: VULNERABLE (Mixed),"[264409, 7195, 3356]",4
812,279,VULNERABLE (Atlas Verified),"[174, 6453, 3257, 6939, 3356, 6461]",7
29226,278,PARTIAL: VULNERABLE (Mixed),[59692],9
9299,275,VULNERABLE (Atlas Verified),"[2914, 3491, 1299, 6453, 135607, 1273, 6939, 3356, 701]",12
139341,272,PARTIAL: VULNERABLE (Mixed),"[6663, 7195, 4651, 12956, 174, 4788, 3257, 1221, 4818, 8452, 17676, 1299, 6939, 3356, 5405, 21277, 6453, 9534, 2914, 10094, 5511, 3491, 35819]",91
13237,272,PARTIAL: VULNERABLE (Mixed),"[1299, 3320, 3257, 5405]",5
3255,270,PARTIAL: VULNERABLE (Mixed),"[6762, 174, 50263, 3257, 6939, 3356]",7
53356,269,PARTIAL: VULNERABLE (Mixed),"[60011, 50673, 33554, 6453, 6424, 3257, 6939]",15
62255,265,PARTIAL: VULNERABLE (Mixed),"[174, 1299, 6939]",5
23106,264,PARTIAL: VULNERABLE (Mixed),"[52320, 1031, 174, 7738, 7195, 10429]",8
20115,258,VULNERABLE (Atlas Verified),"[1299, 3257, 6939, 3356]",5
263009,256,PARTIAL: VULNERABLE (Mixed),"[6453, 264409, 3356]",5
22381,256,PARTIAL: VULNERABLE (Mixed),"[6762, 174, 10429, 3356]",6
5650,251,VULNERABLE (Atlas Verified),"[3356, 174]",2
11432,251,PARTIAL: VULNERABLE (Mixed),"[174, 264409, 7195, 3356, 10429]",7
58682,246,PARTIAL: VULNERABLE (Mixed),"[2914, 174, 9498, 6939]",5
9730,237,VULNERABLE STABLE,[9498],1
49915,237,PARTIAL: VULNERABLE (Mixed),"[137409, 2914, 32098, 1221, 174, 1299, 3257, 3356, 4637]",11
971,232,PARTIAL: VULNERABLE (Mixed),"[6939, 11404, 174]",4
45296,232,PARTIAL: VULNERABLE (Mixed),"[3491, 58453, 6939]",5
24961,231,PARTIAL: VULNERABLE (Mixed),"[3320, 1299, 3356]",4
31027,231,PARTIAL: VULNERABLE (Mixed),"[12552, 1299, 3356]",3
53181,228,PARTIAL: VULNERABLE (Mixed),"[264409, 3356]",7
8641,227,PARTIAL: VULNERABLE (Mixed),"[3491, 59692, 1299]",8
198949,223,PARTIAL: VULNERABLE (Mixed),"[577, 2914, 3491, 12956, 1221, 4648, 9498, 1299, 4826, 3356, 4637]",17
201706,221,PARTIAL: VULNERABLE (Mixed),"[3491, 174, 50384, 1299, 3356]",10
58389,220,PARTIAL: VULNERABLE (Mixed),"[3491, 6762, 174, 6939, 3356]",9
59796,220,PARTIAL: VULNERABLE (Mixed),"[2914, 3491, 1299]",8
53087,215,PARTIAL: VULNERABLE (Mixed),"[12956, 7738, 3356, 10429]",8
12302,215,VULNERABLE (Atlas Verified),[1273],1
8717,212,PARTIAL: VULNERABLE (Mixed),"[2914, 1299, 6939, 3356, 6461]",7
4787,211,VULNERABLE STABLE,[136106],2
42337,210,VULNERABLE (Atlas Verified),[12880],2
269194,208,PARTIAL: VULNERABLE (Mixed),"[1031, 6762, 7195, 3356]",5
17557,207,PARTIAL: VULNERABLE (Mixed),"[2914, 3491, 6762, 174, 1299, 4788, 13335, 6939, 3356, 4637]",14
9050,204,PARTIAL: VULNERABLE (Mixed),"[1299, 3257, 6939, 3356]",5
45899,202,PARTIAL: VULNERABLE (Mixed),"[3491, 6762, 6453, 58453, 9498, 3356]",9
53667,191,PARTIAL: VULNERABLE (Mixed),"[6939, 174]",3
265269,191,PARTIAL: VULNERABLE (Mixed),"[6762, 264997]",4
8732,190,PARTIAL: VULNERABLE (Mixed),[1299],6
263903,190,PARTIAL: VULNERABLE (Mixed),"[264409, 3356, 10429]",4
11164,187,PARTIAL: VULNERABLE (Mixed),"[6939, 1828]",2
28146,184,PARTIAL: VULNERABLE (Mixed),"[8167, 6762, 264409, 3356, 10429]",7
8447,182,VULNERABLE (Atlas Verified),"[1299, 6453, 3320, 6939, 3356]",5
24429,180,PARTIAL: VULNERABLE (Mixed),"[8452, 3462, 5511, 1299, 6939, 3356, 210203, 23969, 3491, 4651, 174, 4788, 6453, 6461, 9534, 1221, 2516, 17888, 2914, 9318, 6762, 131702]",70
11664,179,PARTIAL: VULNERABLE (Mixed),"[19037, 6762, 174, 22927, 1299, 3257, 701]",7
262663,179,PARTIAL: VULNERABLE (Mixed),"[7738, 52873, 267521, 3356, 264997, 262462, 268657, 271253, 6057, 265130, 264112, 273351]",94
18678,178,PARTIAL: VULNERABLE (Mixed),"[23520, 12956, 174, 1299, 264409, 3356]",7
199995,178,PARTIAL: VULNERABLE (Mixed),"[6663, 6762, 8220, 174, 3257, 6939, 3356]",13
52925,178,PARTIAL: VULNERABLE (Mixed),"[12956, 7195, 3356]",10
28598,177,PARTIAL: VULNERABLE (Mixed),"[10429, 264409, 3356, 3549]",7
1820,176,PARTIAL: VULNERABLE (Mixed),"[3257, 1299, 1273, 57463]",4
57344,174,PARTIAL: VULNERABLE (Mixed),"[12956, 2914, 3491, 1273, 5511, 6762, 174, 6830, 20562, 1299, 6453, 3257, 3356]",14
263444,172,PARTIAL: VULNERABLE (Mixed),"[1031, 6762, 1299, 22356, 3356, 6453, 57463, 28663, 12956, 10429]",10
36236,170,PARTIAL: VULNERABLE (Mixed),"[1299, 9498, 6939, 3356, 24482, 3491, 174, 3257, 1221, 32097, 2914, 6762, 37100, 7922]",19
15924,168,PARTIAL: VULNERABLE (Mixed),"[1273, 6762, 3257, 3356]",6
38193,168,PARTIAL: VULNERABLE (Mixed),"[6762, 174, 3320, 3356]",8
8866,168,PARTIAL: VULNERABLE (Mixed),"[6762, 1299, 6939, 3356]",9
12578,168,PARTIAL: VULNERABLE (Mixed),"[1299, 3356, 174]",4
328977,167,PARTIAL: VULNERABLE (Mixed),[37100],2
20001,165,PARTIAL: VULNERABLE (Mixed),"[6453, 3356, 701]",5
41327,164,PARTIAL: VULNERABLE (Mixed),"[2914, 3491, 6762, 174, 44530, 1299, 6453, 3257, 3356]",10
4657,162,PARTIAL: VULNERABLE (Mixed),"[2914, 174, 1299, 6453, 6939, 3356, 4637]",9
269096,160,PARTIAL: VULNERABLE (Mixed),"[2914, 53013, 7195, 3356, 10429]",8
21497,159,PARTIAL: VULNERABLE (Mixed),"[3257, 1299, 1273, 50263]",4
26615,159,PARTIAL: VULNERABLE (Mixed),"[6762, 3356, 22356]",4
20055,158,VULNERABLE (Atlas Verified),"[3257, 1299, 6461, 174]",4
2856,156,VULNERABLE (Atlas Verified),[5400],2
37271,154,PARTIAL: VULNERABLE (Mixed),"[2914, 60171, 174, 3320, 3257, 3356]",8
64289,153,PARTIAL: VULNERABLE (Mixed),"[32097, 12956, 199524, 5511, 6762, 174, 6453, 1273, 3356, 6461]",10
34224,152,PARTIAL: VULNERABLE (Mixed),"[5511, 57463, 6453, 3257, 39737, 6939, 3356]",11
4761,149,PARTIAL: VULNERABLE (Mixed),"[2914, 3491, 38757, 174, 1299, 6453]",9
11427,147,PARTIAL: VULNERABLE (Mixed),[6453],3
15694,147,PARTIAL: VULNERABLE (Mixed),"[174, 5617, 1299, 24724, 6453, 6939]",7
45903,145,PARTIAL: VULNERABLE (Mixed),"[2914, 3491, 5511, 58453, 15412, 3356, 4766]",13
52573,145,PARTIAL: VULNERABLE (Mixed),"[8167, 3356, 10429]",6
58495,144,PARTIAL: VULNERABLE (Mixed),"[24482, 38757, 6453, 6939]",9
41051,144,PARTIAL: VULNERABLE (Mixed),[6939],3
55685,144,PARTIAL: VULNERABLE (Mixed),"[174, 1299, 6453, 58453, 6939]",8
44324,144,PARTIAL: VULNERABLE (Mixed),"[138997, 6939, 6204]",16
58715,144,PARTIAL: VULNERABLE (Mixed),"[174, 58453, 9498, 6939]",7
21574,141,PARTIAL: VULNERABLE (Mixed),"[1031, 174, 7195, 3356]",5
55002,141,VULNERABLE (Atlas Verified),[11404],2
40264,138,PARTIAL: VULNERABLE (Mixed),[10796],2
150178,132,PARTIAL: VULNERABLE (Mixed),"[2914, 6453, 9498, 6939]",7
17378,131,PARTIAL: VULNERABLE (Mixed),"[46887, 174, 22773, 3257, 3356, 6461]",6
57821,130,PARTIAL: VULNERABLE (Mixed),[6939],2
17995,129,VULNERABLE STABLE,[137366],3
209533,128,PARTIAL: VULNERABLE (Mixed),[6939],2
8400,127,PARTIAL: VULNERABLE (Mixed),"[1299, 6453, 3356]",6
12129,127,PARTIAL: VULNERABLE (Mixed),"[2914, 174, 1299, 6453, 3257, 6939, 3356, 6461]",9
12400,125,PARTIAL: VULNERABLE (Mixed),"[3491, 6762, 174, 3257, 6939, 3356]",8
3573,125,PARTIAL: VULNERABLE (Mixed),"[8220, 4637, 4648, 15943, 12874, 33363, 19037, 4713, 2685, 2688, 7303, 6799, 1680, 42652, 9381, 174, 13489, 4788, 3257, 701, 702, 12479, 10429, 6848, 1221, 3269, 6855, 15557, 209, 4826, 3303, 3816, 3308, 35575, 3320, 1273, 14080, 11014, 12552, 5400, 9498, 3356, 35625, 2860, 7474, 327996, 6461, 5466, 32098, 7018, 47474, 33657, 22927, 31122, 14259, 12213, 24521, 5578, 2516, 9186, 35819]",98
4775,124,PARTIAL: VULNERABLE (Mixed),"[3549, 2914, 3491, 4637, 7018, 8220, 174, 1299, 15412, 6453, 1273, 6939, 3356, 701, 4766]",18
7552,124,PARTIAL: VULNERABLE (Mixed),"[2914, 3491, 6453, 3356, 4637]",8
24534,123,PARTIAL: VULNERABLE (Mixed),"[174, 4788, 58453, 6453, 6939]",5
4455,122,PARTIAL: VULNERABLE (Mixed),"[5511, 174, 31216, 44530, 1299]",7
2152,122,PARTIAL: VULNERABLE (Mixed),"[6939, 3356, 13335]",4
8953,121,PARTIAL: VULNERABLE (Mixed),"[5511, 6762, 1299]",5
11172,119,PARTIAL: VULNERABLE (Mixed),"[23520, 32098, 3491, 6762, 174, 1299, 6461]",7
45147,117,PARTIAL: VULNERABLE (Mixed),"[174, 1299, 6453, 3356, 4637]",8
45117,116,VULNERABLE (Atlas Verified),[9498],5
17762,114,VULNERABLE STABLE,[9498],2
3209,114,VULNERABLE (Atlas Verified),"[1273, 1299, 3356]",3
28343,113,PARTIAL: VULNERABLE (Mixed),"[6762, 7195, 3356]",4
8772,112,PARTIAL: VULNERABLE (Mixed),"[1299, 3356]",4
268696,111,PARTIAL: VULNERABLE (Mixed),"[52320, 1031, 264409]",6
9198,111,VULNERABLE (Atlas Verified),"[3491, 174, 3356]",10
47232,111,PARTIAL: VULNERABLE (Mixed),"[39392, 174, 1299, 6939]",6
28126,109,PARTIAL: VULNERABLE (Mixed),"[52320, 12956, 3356]",6
9790,107,VULNERABLE (Atlas Verified),"[9507, 4826, 6939, 3356]",4
17408,106,PARTIAL: VULNERABLE (Mixed),"[6939, 15412, 3462]",4
262589,106,PARTIAL: VULNERABLE (Mixed),"[6762, 174, 22356, 264409, 6939]",7
703,104,PARTIAL: VULNERABLE (Mixed),"[174, 1299, 6453, 18041, 9498, 3356, 701, 702]",8
262907,104,PARTIAL: VULNERABLE (Mixed),"[8167, 264409, 3356, 10429]",6
41798,104,PARTIAL: VULNERABLE (Mixed),[6939],5
33132,104,VULNERABLE STABLE,[46887],1
29838,103,PARTIAL: VULNERABLE (Mixed),"[2914, 174, 1299, 6939, 33597, 6079]",8
8262,102,PARTIAL: VULNERABLE (Mixed),"[3257, 6939, 3356]",5
5606,99,PARTIAL: VULNERABLE (Mixed),"[8708, 6762, 6830, 174, 1299, 3257, 3356]",8
17665,99,VULNERABLE STABLE,[9498],2
35753,99,PARTIAL: VULNERABLE (Mixed),"[6762, 174, 6453, 3356]",5
138128,98,PARTIAL: VULNERABLE (Mixed),"[38757, 5511, 174, 18106, 6939]",5
134654,98,PARTIAL: VULNERABLE (Mixed),"[58453, 174]",3
139901,98,PARTIAL: VULNERABLE (Mixed),"[2914, 174, 6453, 58453, 9498, 6939, 6461]",11
8151,98,VULNERABLE (Atlas Verified),"[2914, 7018, 174, 1299, 6453, 3257, 6939, 3356, 701]",9
28329,97,PARTIAL: VULNERABLE (Mixed),"[6762, 7195]",4
33763,97,PARTIAL: VULNERABLE (Mixed),"[2914, 37613, 174, 6453, 6939]",14
18734,97,PARTIAL: VULNERABLE (Mixed),"[23520, 12956, 32098, 6762, 174, 1299, 3257, 6939, 3356, 6461]",10
44901,97,PARTIAL: VULNERABLE (Mixed),"[5511, 6762, 174, 1299, 50263, 3257, 3356]",9
28716,97,PARTIAL: VULNERABLE (Mixed),"[6762, 1299, 6453, 3320]",5
3758,97,PARTIAL: VULNERABLE (Mixed),"[3491, 1299, 6453, 4637]",6
28260,97,PARTIAL: VULNERABLE (Mixed),[53013],6
2686,96,PARTIAL: VULNERABLE (Mixed),"[12956, 7018, 174, 1299, 6453, 3356]",8
2854,95,PARTIAL: VULNERABLE (Mixed),"[5511, 50384, 1299]",11
29802,95,PARTIAL: VULNERABLE (Mixed),"[12956, 16260, 8220, 174, 1299, 12213, 33302, 3257, 6939, 3356]",15
15895,95,PARTIAL: VULNERABLE (Mixed),"[35297, 1299, 174]",4
12357,94,PARTIAL: VULNERABLE (Mixed),[12430],2
270735,94,PARTIAL: VULNERABLE (Mixed),"[52320, 137409, 12956, 1031, 174, 57463, 3257, 7195, 3356]",12
209735,92,PARTIAL: VULNERABLE (Mixed),[6939],3
2116,92,PARTIAL: VULNERABLE (Mixed),"[12552, 1299, 3356]",4
35805,92,PARTIAL: VULNERABLE (Mixed),"[1299, 57463, 3356]",6
56534,91,PARTIAL: VULNERABLE (Mixed),"[31500, 59692]",6
44600,91,PARTIAL: VULNERABLE (Mixed),"[6663, 174, 1299, 35320, 6939, 3356]",9
3741,91,VULNERABLE (Atlas Verified),"[2914, 174, 6453, 6939, 3356]",5
58224,90,PARTIAL: VULNERABLE (Mixed),[12880],2
12735,89,PARTIAL: VULNERABLE (Mixed),"[6762, 3257, 6939]",7
10103,89,PARTIAL: VULNERABLE (Mixed),"[9269, 6453]",3
12963,89,PARTIAL: VULNERABLE (Mixed),"[35297, 3252, 50263, 3257, 3356]",9
52554,89,PARTIAL: VULNERABLE (Mixed),"[52873, 3356]",3
28186,88,PARTIAL: VULNERABLE (Mixed),"[3356, 7738, 6939, 12956]",7
17439,87,VULNERABLE STABLE,[9498],4
63293,87,PARTIAL: VULNERABLE (Mixed),"[51225, 52509, 17828, 52389, 212522, 327719, 174, 63927, 328010, 61521, 10084, 206186, 37100, 40300, 10094, 61553, 395627]",69
8529,86,PARTIAL: VULNERABLE (Mixed),"[137409, 6762, 174, 1299, 6453, 58453, 3320, 3257, 6939, 3356, 4637]",13
27064,86,VULNERABLE STABLE,[721],1
13767,85,PARTIAL: VULNERABLE (Mixed),"[2914, 174, 7922, 1299, 3356, 6461]",7
52863,82,PARTIAL: VULNERABLE (Mixed),"[20473, 7195, 12956]",7
26554,81,PARTIAL: VULNERABLE (Mixed),"[7018, 174, 3257, 6939, 3356]",6
917,80,PARTIAL: VULNERABLE (Mixed),"[906, 1299, 6939, 3356]",13
9829,80,PARTIAL: VULNERABLE (Mixed),"[2914, 3491, 6762, 174, 1299, 6453, 3257, 9498]",12
62,80,PARTIAL: VULNERABLE (Mixed),"[174, 3356, 3257, 6300, 6461]",5
28220,79,PARTIAL: VULNERABLE (Mixed),"[52320, 6762, 53013, 7195, 3356]",9
35661,79,PARTIAL: VULNERABLE (Mixed),"[174, 44530, 1299, 3257, 6939, 35133]",7
17494,78,PARTIAL: VULNERABLE (Mixed),"[2914, 3491, 6762, 174, 1299, 6453, 9498]",7
40676,78,PARTIAL: VULNERABLE (Mixed),"[46597, 35868, 4637, 149024, 400941, 64056, 398397, 41564, 397423, 401044, 214691, 62633, 174, 3257, 12996, 46805, 401650, 207612, 3842, 394503, 199432, 16661, 6939, 399661, 203061, 2914, 11117, 46505, 150445, 212935, 401362, 136165, 40958]",77
138915,78,PARTIAL: VULNERABLE (Mixed),"[8452, 5511, 6663, 17676, 1299, 6939, 3356, 7195, 21277, 3491, 63139, 174, 4788, 3257, 58453, 135905, 2914, 6762, 35819, 140666]",56
49581,78,PARTIAL: VULNERABLE (Mixed),"[3257, 6939, 5405]",4
31898,77,VULNERABLE (Atlas Verified),"[1680, 1299, 13335, 9498, 7195, 8220, 3356, 12956, 3491, 8103, 174, 7474, 4788, 6453, 3257, 1221, 4826, 3549, 2914, 9318, 6762, 35819, 7029, 3320]",38
19108,76,PARTIAL: VULNERABLE (Mixed),"[1299, 3356, 174]",4
262476,76,PARTIAL: VULNERABLE (Mixed),"[2914, 3356]",6
