asn,name,cone,verdict,dirty,total
329022,Gifra Wireless Network Limited,0,Unverified (Unknown Upstreams),0,0
329021,SAVENET LIMITED,0,Unverified (Unknown Upstreams),0,0
329020,ATX NET Limited,0,Unverified (Unknown Upstreams),0,0
32902,"Vidillion, Inc.",0,Unverified (Unknown Upstreams),0,0
329019,Tangerine Life Insurance Limited,0,Unverified (Unknown Upstreams),0,0
329017,RAGA NET SARL,0,Unverified (Unknown Upstreams),0,0
329016,Adumo Technologies  (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
329014,Vilcom Networks Limited,0,Unverified (Unknown Upstreams),0,0
329013,World Mobile Chain Limited,0,Unverified (Unknown Upstreams),0,0
329012,Motus Corporation (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
329011,"Múltipla - Sociedade Múltipla de Angola, Limitada",0,Unverified (Unknown Upstreams),0,0
329010,Société d'Infrastructures Numériques (SIN),0,Unverified (Unknown Upstreams),0,0
32901,"CGNET Services International, Inc.",0,Unverified (Unknown Upstreams),0,0
329009,Spectrum Internet Service Ltd,0,Unverified (Unknown Upstreams),0,0
329007,"ELENDE - TECNOLOGIAS DE INFORMACAO - COMERCIO E SERVICOS, LDA",0,Unverified (Unknown Upstreams),0,0
329006,DFA Zimbabwe (Private) Limited,0,Unverified (Unknown Upstreams),0,0
329032,Mdantsane Mobile,0,Unverified (Unknown Upstreams),0,0
329033,Systel Limited,0,Unverified (Unknown Upstreams),0,0
329034,Hawaritha investment Limited,0,Unverified (Unknown Upstreams),0,0
32905,"Parus Holdings, Inc.",0,Unverified (Unknown Upstreams),0,0
329063,Flex Serve IT (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
329062,Baremetal Computer Traders,0,Unverified (Unknown Upstreams),0,0
32906,FACTORY MUTUAL INSURANCE COMPANY,0,Unverified (Unknown Upstreams),0,0
329058,INFINITY CONNECT (PTY) LTD,0,Safe (Unknown Upstreams),0,0
329057,Smart City Technology Company Ltd,0,Unverified (Unknown Upstreams),0,0
329056,SKY INTERNET SA (PTY) LTD,0,Unverified (Unknown Upstreams),0,0
329054,9 Payment Service Bank Limited,0,Unverified (Unknown Upstreams),0,0
329053,QSupport Cloud (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
329052,N. E Diversified Limited,0,Unverified (Unknown Upstreams),0,0
329051,SPECTRANET LIMITED,0,Unverified (Unknown Upstreams),0,0
329050,Julius Berger Nigeria PLC,0,Unverified (Unknown Upstreams),0,0
329049,Ring a Nerd cc,0,Unverified (Unknown Upstreams),0,0
329036,The Expert Company (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
329048,NETCOM sa,0,Unverified (Unknown Upstreams),0,0
329047,Poynting Delta,0,Unverified (Unknown Upstreams),0,0
329046,CFM WIRELESS (PTY) LTD,0,Unverified (Unknown Upstreams),0,0
329045,Ilitha Infrastructure (Pty) Ltd,0,Safe (Unknown Upstreams),0,0
329044,Surf Net Solutions Limited,0,Unverified (Unknown Upstreams),0,0
329042,VAIMO ECOMMERCE SERVICES (PTY) LTD,0,Unverified (Unknown Upstreams),0,0
329041,Association Nationale D'Education Et De Recherche Du Burkina Faso - F@soREN,0,Unverified (Unknown Upstreams),0,0
32904,Arterra Mobility,0,Unverified (Unknown Upstreams),0,0
329039,LINK CONNECT SERVICES (PTY) LTD,0,Unverified (Unknown Upstreams),0,0
329038,WELINK HOLDINGS (PTY) LTD,0,Unverified (Unknown Upstreams),0,0
329037,BRIDGE BANK GROUP COTE D'IVOIRE,0,Unverified (Unknown Upstreams),0,0
329005,Crown Networks Limited,0,Unverified (Unknown Upstreams),0,0
329002,Pan African IX Data Centres Kenya Ltd,0,Unverified (Unknown Upstreams),0,0
328949,Converged Technology Networks Limited,0,Unverified (Unknown Upstreams),0,0
329001,Kasi Cloud Limited,0,Unverified (Unknown Upstreams),0,0
328974,Datonet (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
328973,Future Fibre Installations (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
328972,Geidea Technology,0,Unverified (Unknown Upstreams),0,0
328971,MapleLeaf Technologies International Limited,0,Unverified (Unknown Upstreams),0,0
328970,CloudGistics,0,Unverified (Unknown Upstreams),0,0
32897,Chelan County Public Utility District No.1,0,Unverified (Unknown Upstreams),0,0
328969,Albaraka Bank of Egypt,0,Unverified (Unknown Upstreams),0,0
328966,Echo 45 Trading (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
328965,Leader Net Services Sarl,0,Unverified (Unknown Upstreams),0,0
328964,Insight Actuarial Solutions (Pty) Ltd,0,SECURE (Active Local ROV),2,2
328963,Werners World of Wireless,0,Unverified (Unknown Upstreams),0,0
328962,Watchtower Bible and Tract Society of South Africa,0,Unverified (Unknown Upstreams),0,0
328961,NET99 (PTY) LTD,0,Unverified (Unknown Upstreams),0,0
328960,Ministry of Foreign Affairs African Cooperation and Moroccan Expatriates,0,Unverified (Unknown Upstreams),0,0
32896,MoTech,0,Unverified (Unknown Upstreams),0,0
328959,SO! Limited,0,Unverified (Unknown Upstreams),0,0
328958,cybrscrb ltd.,0,Unverified (Unknown Upstreams),0,0
328957,CoLi Link Ghana Limited,0,Unverified (Unknown Upstreams),0,0
328955,NRG WIRELESS LIMITED,0,Unverified (Unknown Upstreams),0,0
328954,Bluecom Ltd,0,Unverified (Unknown Upstreams),0,0
328953,TAYOCOM,0,Unverified (Unknown Upstreams),0,0
328952,Bitconnect Pty Ltd,0,Unverified (Unknown Upstreams),0,0
328951,Parallex Bank Limited,0,Unverified (Unknown Upstreams),0,0
328950,Green Telecom Limited,0,Unverified (Unknown Upstreams),0,0
32895,Milliken & Company,0,Unverified (Unknown Upstreams),0,0
328975,MTAANI TELECOM,0,Unverified (Unknown Upstreams),0,0
328977,Wavex Internet Service Provider LTD,0,Unverified (Unknown Upstreams),0,0
328978,Dew CIS Solutions Limited,0,Unverified (Unknown Upstreams),0,0
328992,Bonus 1000F,0,Unverified (Unknown Upstreams),0,0
329000,EQUITY BANK UGANDA LIMITED,0,Unverified (Unknown Upstreams),0,0
32900,Quartet Service Ltd.,0,Unverified (Unknown Upstreams),0,0
3290,WIFAST SARL,0,Unverified (Unknown Upstreams),0,0
329,United States Department of Defense (DoD),0,Unverified (Unknown Upstreams),0,0
328999,BrowsePoint Telecom Nigeria Limited,0,Unverified (Unknown Upstreams),0,0
328998,Uganda Internet eXchange Point,0,Unverified (Unknown Upstreams),0,0
328997,RIMATEL-SA,0,Unverified (Unknown Upstreams),0,0
328996,Botswana Postal Services Limited,0,Unverified (Unknown Upstreams),0,0
328995,ST DIGITAL,0,Unverified (Unknown Upstreams),0,0
328994,NuruNet Communications Ltd,0,Unverified (Unknown Upstreams),0,0
328993,Click Fiber Communications Limited,0,Safe (Unknown Upstreams),0,0
328991,IronTree Internet Services,0,Unverified (Unknown Upstreams),0,0
328979,"NEONET PRESTAÇÃO DE SERVIÇOS E TELECOMUNICAÇÕES, LDA",0,Unverified (Unknown Upstreams),0,0
328990,Moya Telcom (PTY) Limited,0,Unverified (Unknown Upstreams),0,0
32899,Bresco Broadband,0,Unverified (Unknown Upstreams),0,0
328989,SMARTCLOUD  AFRICA LIMITED,0,Unverified (Unknown Upstreams),0,0
328988,SAFARICOM TELECOMMUNICATIONS ETHIOPIA PLC,0,Unverified (Unknown Upstreams),0,0
328987,Lime Emerging Solutions Limited,0,Unverified (Unknown Upstreams),0,0
328986,Vayacom Limited,0,Unverified (Unknown Upstreams),0,0
328984,Revabit Limited,0,Unverified (Unknown Upstreams),0,0
328983,Comsys (GH) Limited,0,Unverified (Unknown Upstreams),0,0
328981,Signal HD,0,Unverified (Unknown Upstreams),0,0
328980,International School of Tanganyika,0,Unverified (Unknown Upstreams),0,0
32898,Vexus Fiber,0,Safe (Unknown Upstreams),0,0
328839,Silver Solutions 1234,0,Unverified (Unknown Upstreams),0,0
328838,AIM Firms Limited,0,Unverified (Unknown Upstreams),0,0
328837,VTS Connect Pty Ltd,0,Unverified (Unknown Upstreams),0,0
328658,De Choicetech Integrated Ltd,0,Unverified (Unknown Upstreams),0,0
328694,IMS Ventures,0,Unverified (Unknown Upstreams),0,0
328693,Ifowuni (PTY) Ltd,0,Unverified (Unknown Upstreams),0,0
328692,Nitro switch Limited,0,Unverified (Unknown Upstreams),0,0
328691,Global Network Systems (PTY) LTD,0,Unverified (Unknown Upstreams),0,0
328690,Royal Science and Technology Park,0,Unverified (Unknown Upstreams),0,0
32869,"Silver Star Telecom, LLC",0,Unverified (Unknown Upstreams),0,0
32868,"Flexential Dataside, LLC",0,Unverified (Unknown Upstreams),0,0
328679,SOCIETE DIGITAL COM SA/AG,0,Unverified (Unknown Upstreams),0,0
328678,2C UFi COMMUNICATIONS LIMITED,0,Unverified (Unknown Upstreams),0,0
328677,KorCom (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
328676,Zanzibar Information Communication Technology Infrastructure Agency (ZICTIA),0,Unverified (Unknown Upstreams),0,0
328674,Mzansi ComNet,0,Unverified (Unknown Upstreams),0,0
328672,Silicon Sky Consulting (PTY) LTD,0,Unverified (Unknown Upstreams),0,0
328671,Datapacket Maroc SARL,0,Unverified (Unknown Upstreams),0,0
328670,Nowtech PTY Ltd,0,Unverified (Unknown Upstreams),0,0
32867,Long Lines Internet,0,Unverified (Unknown Upstreams),0,0
328669,"BOLSA DE DÍVIDA E VALORES DE ANGOLA, SGMR, S.A",0,Unverified (Unknown Upstreams),0,0
328668,Nkponani Limited,0,Unverified (Unknown Upstreams),0,0
328666,CAMPASS PLC,0,Unverified (Unknown Upstreams),0,0
328665,Zambia Revenue Authority,0,Unverified (Unknown Upstreams),0,0
328663,Catholic University of Ghana (Fiapre) (CUG),0,Unverified (Unknown Upstreams),0,0
328662,"Presbyterian University College, Ghana",0,Unverified (Unknown Upstreams),0,0
328661,C-Way Computers CC,0,Unverified (Unknown Upstreams),0,0
328660,Davo Corp CC,0,Unverified (Unknown Upstreams),0,0
32866,"Solera Holdings, Inc.",0,Unverified (Unknown Upstreams),0,0
328695,Witronics Pty Ltd,0,Unverified (Unknown Upstreams),0,0
328696,Tecpoint Global Solution limited,0,Unverified (Unknown Upstreams),0,0
328697,Smart Network Limited,0,Unverified (Unknown Upstreams),0,0
328709,Universite Mohammed VI POLYTECHNIQUE - UM6P,0,Unverified (Unknown Upstreams),0,0
32872,"Difficult Computing, LLC",0,Unverified (Unknown Upstreams),0,0
328719,Wired Tech Pty Ltd,0,Unverified (Unknown Upstreams),0,0
328718,ANYCONNECT- Tecnologias e Telecomunicações S.A,0,Unverified (Unknown Upstreams),0,0
328717,Tizeti Network Ghana Limited,0,Unverified (Unknown Upstreams),0,0
328716,VIPNET BURKINA FASO,0,Unverified (Unknown Upstreams),0,0
328714,Lucert Technologies Pty Ltd.,0,Unverified (Unknown Upstreams),0,0
328713,Tele Internet (PTY) LTD,0,Unverified (Unknown Upstreams),0,0
328712,Keter Technologies (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
328711,Intaweb (Pty) Ltd.,0,Unverified (Unknown Upstreams),0,0
328710,Orbicom pty ltd,0,Unverified (Unknown Upstreams),0,0
32871,Nature's Way,0,Unverified (Unknown Upstreams),0,0
328708,DishNet Africa Limited,0,Unverified (Unknown Upstreams),0,0
328698,ZA Gas CC,0,Safe (Unknown Upstreams),0,0
328707,Al Bayan Media Limited,0,Unverified (Unknown Upstreams),0,0
328706,IO Tech Manufacturing (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
328705,Victoria Commercial Bank Limited,0,Unverified (Unknown Upstreams),0,0
328704,Wifiza Telecoms cc,0,Unverified (Unknown Upstreams),0,0
328703,Seven Network Inc.,0,Unverified (Unknown Upstreams),0,0
328702,Agence pour le Developpement du Numérique,0,Safe (Unknown Upstreams),0,0
328701,EFT Corporation Ltd,0,Unverified (Unknown Upstreams),0,0
328700,TISPA - Tanzania Internet Service Providers Association,0,Unverified (Unknown Upstreams),0,0
32870,"Salesforce.com, Inc.",0,Unverified (Unknown Upstreams),0,0
3287,Dmitry Vyacheslavovich Sharov,0,Unverified (Unknown Upstreams),0,0
328699,DataKeepers Ltd,0,Unverified (Unknown Upstreams),0,0
328659,Vobiss Solutions Limited,0,Unverified (Unknown Upstreams),0,0
328657,Old Mutual Insure Limited,0,Unverified (Unknown Upstreams),0,0
328836,SIDIAN BANK LIMITED,0,Unverified (Unknown Upstreams),0,0
328656,Emalangeni Technologies (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
328624,VDB Communications (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
328623,VGR Communications Ltd,0,Unverified (Unknown Upstreams),0,0
328622,MHYAS HOLDINGS (PTY) LTD,0,Unverified (Unknown Upstreams),0,0
328621,CloudProx Hosting (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
32862,"Cambridge Systematics, Inc.",0,Unverified (Unknown Upstreams),0,0
328619,Abraj Libya Co For Communications & information Technology,0,Unverified (Unknown Upstreams),0,0
328618,Ets OliverSoft,0,Unverified (Unknown Upstreams),0,0
328617,Skystar Global Solutions Limited,0,Unverified (Unknown Upstreams),0,0
328616,Spidd Africa Ltd,0,Unverified (Unknown Upstreams),0,0
328615,LIBYAN INTERNATIONAL TELECOMMUNICATION COMPANY,0,Unverified (Unknown Upstreams),0,0
328614,Eden Technologies Company Limited,0,Unverified (Unknown Upstreams),0,0
328613,Trakatel Limited,0,Unverified (Unknown Upstreams),0,0
328612,Zarclear (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
328611,Libyan Elite,0,Unverified (Unknown Upstreams),0,0
328610,DELTANET FIBER,0,Unverified (Unknown Upstreams),0,0
32861,Macquarie Global Services (USA) LLC,0,Unverified (Unknown Upstreams),0,0
328609,Axa Mansard Insurance PLC,0,Unverified (Unknown Upstreams),0,0
328608,Africa on Cloud,0,Unverified (Unknown Upstreams),0,0
328607,UBX (TANZANIA) LIMITED,0,Unverified (Unknown Upstreams),0,0
328606,Iristel Kenya Limited,0,Unverified (Unknown Upstreams),0,0
328605,MUYA FIBRE CONSTRUCTION LTD,0,Unverified (Unknown Upstreams),0,0
328604,Societe 'Sahel Tele Internet' SA/AG,0,Unverified (Unknown Upstreams),0,0
328601,Compagnie Financiere du Congo S.a.r.l.,0,Unverified (Unknown Upstreams),0,0
328600,BENGOL.NET LIMITED,0,Unverified (Unknown Upstreams),0,0
32860,Cats-Net Limited,0,Unverified (Unknown Upstreams),0,0
328625,Revolution'Air Ltd,0,Unverified (Unknown Upstreams),0,0
328627,Agence des technologies de communication et de sécurite (A.T.C.S),0,Unverified (Unknown Upstreams),0,0
328628,Wanderport Swaziland,0,Unverified (Unknown Upstreams),0,0
328643,Masstores (Proprietary) Limited,0,Unverified (Unknown Upstreams),0,0
328654,Fixed Solutions,0,Unverified (Unknown Upstreams),0,0
328652,Hirani Telecommunication ltd,0,Safe (Unknown Upstreams),0,0
328651,iVeri Payment Technologies (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
328650,Universite Virtuelle du Senegal,0,Unverified (Unknown Upstreams),0,0
32865,"Montana Opticom, LLC",0,Unverified (Unknown Upstreams),0,0
328649,DANON'S GROUP,0,Unverified (Unknown Upstreams),0,0
328648,KUMASI TECHNICAL UNIVERSITY,0,Unverified (Unknown Upstreams),0,0
328647,Koforidua Technical University,0,Unverified (Unknown Upstreams),0,0
328646,INFRATEL CORPORATION LIMITED,0,Unverified (Unknown Upstreams),0,0
328645,The Egyptian Stock Exchange,0,Unverified (Unknown Upstreams),0,0
328644,World Sports Betting Services (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
328641,Open Fibre (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
328629,Egyptian Credit Bureau Estealam S.A.E,0,Unverified (Unknown Upstreams),0,0
32864,Converse in Code Inc.,0,Unverified (Unknown Upstreams),0,0
328639,Ghana National Petroleum Corporation,0,Unverified (Unknown Upstreams),0,0
328638,Letaba Wireless Internet CC,0,Unverified (Unknown Upstreams),0,0
328637,Travelport Services (Kenya) Limited,0,Unverified (Unknown Upstreams),0,0
328636,Jambo telecoms limited,0,Unverified (Unknown Upstreams),0,0
328634,FINANCE TRUST BANK LIMITED,0,Unverified (Unknown Upstreams),0,0
328633,MikroTikSA Networks CC,0,Unverified (Unknown Upstreams),0,0
328632,RTS Net Pty Ltd,0,Unverified (Unknown Upstreams),0,0
328631,TWC Hosting CC,0,Unverified (Unknown Upstreams),0,0
328630,Tizeti Network Limited,0,Unverified (Unknown Upstreams),0,0
32863,"Trinsic Technologies, Inc.",0,Unverified (Unknown Upstreams),0,0
328720,Nerospec Networks (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
328721,Groupe Netforce,0,Unverified (Unknown Upstreams),0,0
328722,Ciudad Infrastructure Limited,0,Unverified (Unknown Upstreams),0,0
328723,Telasera Technologies PTY LTD,0,Unverified (Unknown Upstreams),0,0
328805,ZAPTECH LIMITED,0,Unverified (Unknown Upstreams),0,0
328803,Radiospoor Welkom (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
328802,Khula Tech Solutions,0,Unverified (Unknown Upstreams),0,0
328801,KEYCOM LIMITED,0,Unverified (Unknown Upstreams),0,0
328800,Faulu Microfinance Bank Limited,0,Unverified (Unknown Upstreams),0,0
32880,"Televox, Inc.",0,Unverified (Unknown Upstreams),0,0
3288,Mofet Institute,0,Unverified (Unknown Upstreams),0,0
328799,PIXI MEDIA SARL,0,Unverified (Unknown Upstreams),0,0
328798,InsideData PTY (Ltd),0,Unverified (Unknown Upstreams),0,0
328797,Broadspectrum Limited,0,Unverified (Unknown Upstreams),0,0
328796,Internet service provider association - DRC,0,Unverified (Unknown Upstreams),0,0
328795,AdNotes (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
328794,Vodafone International Services L.L.C,0,Unverified (Unknown Upstreams),0,0
328793,BRAND-fi Technologies Ltd,0,Unverified (Unknown Upstreams),0,0
328792,"EMIS - Empresa Interbancaria de Serviços,S.A",0,Unverified (Unknown Upstreams),0,0
328791,Mr. Price Group Limited,0,Unverified (Unknown Upstreams),0,0
328790,Opentel Technologies (PTY) LTD,0,Safe (Unknown Upstreams),0,0
32879,State of Nevada Legislature,0,Unverified (Unknown Upstreams),0,0
328789,MAFAB Communications Limited,0,Unverified (Unknown Upstreams),0,0
328788,Q-Kon PTY LTD,0,Unverified (Unknown Upstreams),0,0
328787,China Mobile International South Africa (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
328786,valU,0,Unverified (Unknown Upstreams),0,0
328785,Gigawave Solutions PTY LTD,0,Unverified (Unknown Upstreams),0,0
328784,Credit Bank PLC,0,Unverified (Unknown Upstreams),0,0
328783,SELCOM PAYTECH LTD,0,Unverified (Unknown Upstreams),0,0
328806,We Do Wireless (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
328808,DUMATEL AFRICA LIMITED,0,Unverified (Unknown Upstreams),0,0
328809,EDIATTAH Conseils & Solutions,0,Unverified (Unknown Upstreams),0,0
328821,RAXIO DATA CENTRE SMC LIMITED,0,Unverified (Unknown Upstreams),0,0
328835,Easy BroadBand Limited,0,Unverified (Unknown Upstreams),0,0
328832,Network Platforms (PTY) LTD,0,Unverified (Unknown Upstreams),0,0
328831,African Network Operators (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
328830,Xpand IT (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
32883,Logonix Corporation,0,Safe (Unknown Upstreams),0,0
328829,Vumatel Pty Ltd,0,Unverified (Unknown Upstreams),0,0
328826,Jumbo Technologies PTY LTD,0,Unverified (Unknown Upstreams),0,0
328825,Access and Content Ltd,0,Unverified (Unknown Upstreams),0,0
328824,Lulu Tech Advanced Technology,0,Unverified (Unknown Upstreams),0,0
328823,JAIZ BANK PLC,0,Unverified (Unknown Upstreams),0,0
328822,Yooko Technologies,0,Unverified (Unknown Upstreams),0,0
328820,TF TELECOMS,0,Safe (Unknown Upstreams),0,0
32881,Server North,0,PARTIAL (Mixed Feeds),3,4
32882,"Centrilogic, Inc.",0,Unverified (Unknown Upstreams),0,0
328819,Bluecentrix PTY LTD,0,Unverified (Unknown Upstreams),0,0
328818,CASTLEROCK MANAGED IT SERVICES COMPANY (PTY) LTD,0,Unverified (Unknown Upstreams),0,0
328817,CITY CHANNELS CABLE NETWORK ZAMBIA LIMITED,0,Unverified (Unknown Upstreams),0,0
328816,ATS All Technology Solutions (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
328815,Sky World Limited,0,Unverified (Unknown Upstreams),0,0
328814,Galela Telecommunication Holdings (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
328813,Uganda Christian University,0,Unverified (Unknown Upstreams),0,0
328812,Xstream Connect (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
328811,First Capital Bank PLC,0,Unverified (Unknown Upstreams),0,0
328810,Techwood Trading (Pty) Ltd.,0,Unverified (Unknown Upstreams),0,0
328782,Karti Telecom Limited,0,Unverified (Unknown Upstreams),0,0
328781,LIDA MASS LINK LIMITED,0,Unverified (Unknown Upstreams),0,0
328780,IMBIL TELECOM SOLUTIONS NIG. LTD,0,Unverified (Unknown Upstreams),0,0
328737,Netway (Proprietary) Limited,0,Unverified (Unknown Upstreams),0,0
328749,Triqa Wifi,0,Unverified (Unknown Upstreams),0,0
328748,Agile Solutions Provider (PTY) LTD,0,Unverified (Unknown Upstreams),0,0
328747,WAN 4 U cc,0,Unverified (Unknown Upstreams),0,0
328746,Globus Bank Limited,0,Unverified (Unknown Upstreams),0,0
328745,URBAN WAVE INTERNET SOLUTIONS,0,Unverified (Unknown Upstreams),0,0
328744,Platinum Broadband,0,Unverified (Unknown Upstreams),0,0
328743,SmartLink Co for Information Technology and Networking,0,Unverified (Unknown Upstreams),0,0
328742,Simplifyd Systems Nigeria Limited,0,Unverified (Unknown Upstreams),0,0
32874,"Association Technologies, Inc.",0,Unverified (Unknown Upstreams),0,0
328739,KENYA PORTS AUTHORITY,0,Unverified (Unknown Upstreams),0,0
328738,Youth Net and Counselling,0,Unverified (Unknown Upstreams),0,0
328736,MPACT OPERATIONS (PTY) LTD.,0,Unverified (Unknown Upstreams),0,0
328750,Access Technology Consultants (PTY) LTD,0,Unverified (Unknown Upstreams),0,0
328735,Fibre Geeks Pty Ltd,0,Unverified (Unknown Upstreams),0,0
328734,Blue Streak Horizons Net Limited,0,Safe (Unknown Upstreams),0,0
328733,AWAL TELECOM & TECHNOLOGY,0,Unverified (Unknown Upstreams),0,0
328732,Krypton Web (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
328730,Dimension 5 Internet Solutions (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
32873,Children's Oncology Group,0,Unverified (Unknown Upstreams),0,0
328729,GROUPEMENT DES SERVICES EAU ET ELECTRICITE,0,Unverified (Unknown Upstreams),0,0
328728,Outremer Telecom Digital Solutions,0,Unverified (Unknown Upstreams),0,0
328727,Simba Fiber Africa Limited,0,Unverified (Unknown Upstreams),0,0
328725,"Advanlink, Lda",0,Unverified (Unknown Upstreams),0,0
328724,ISAT AFRICA KENYA LTD,0,Unverified (Unknown Upstreams),0,0
32875,Wowrack.com,0,Unverified (Unknown Upstreams),0,0
328751,CRDB BANK PLC,0,Unverified (Unknown Upstreams),0,0
32878,National Weather Service,0,Unverified (Unknown Upstreams),0,0
328766,Hoop Telecoms Limited,0,Unverified (Unknown Upstreams),0,0
328779,Proline Technologies Limited,0,Unverified (Unknown Upstreams),0,0
328778,Star Network Marketing Services Company (Proprietary) Limited,0,Unverified (Unknown Upstreams),0,0
328777,LIMPO WIFI (PTY) LTD,0,Safe (Unknown Upstreams),0,0
328775,AZAMPAY TANZANIA LIMITED,0,Unverified (Unknown Upstreams),0,0
328774,VOIZACOM (PTY) LTD,0,Unverified (Unknown Upstreams),0,0
328772,Momentum Metropolitan Life Ltd,0,Unverified (Unknown Upstreams),0,0
328770,SIMBA MEDIA GHANA LIMITED,0,Unverified (Unknown Upstreams),0,0
32877,Skyway Networks,0,Unverified (Unknown Upstreams),0,0
328769,ARROW NETWORK SYSTEMS LIMITED,0,Unverified (Unknown Upstreams),0,0
328768,COMPUTER AUTOMATION LTD,0,Unverified (Unknown Upstreams),0,0
328767,Wiza Solutions Pty Ltd,0,Unverified (Unknown Upstreams),0,0
328765,THINK WIFI (PTY) LTD,0,Unverified (Unknown Upstreams),0,0
328752,Christian Service University College,0,Unverified (Unknown Upstreams),0,0
328764,Ekiti State University,0,Unverified (Unknown Upstreams),0,0
328763,Crimson Moon Trading,0,Unverified (Unknown Upstreams),0,0
328762,Mansoura University,0,Unverified (Unknown Upstreams),0,0
328761,Garnaal Beleggings CC,0,Unverified (Unknown Upstreams),0,0
328760,ZTEL PTY LTD,0,Unverified (Unknown Upstreams),0,0
32876,Lycoming College,0,Unverified (Unknown Upstreams),0,0
328758,R A Consulting Services (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
328757,Donya Digital (Pty) Ltd,0,Unverified (Unknown Upstreams),0,0
328755,Digitel Holdings Limited,0,Unverified (Unknown Upstreams),0,0
328754,DIAMOND TRUST BANK UGANDA LIMITED,0,Unverified (Unknown Upstreams),0,0
328753,Zeplin Investments Ltd,0,Unverified (Unknown Upstreams),0,0
33354,PORT AUTHORITY OF New York and New Jersey,0,Unverified (Unknown Upstreams),0,0
33356,Eagle-Tech Systems,0,Unverified (Unknown Upstreams),0,0
33357,"Teradyne, Inc.",0,Unverified (Unknown Upstreams),0,0
34717,"SID Bank,d.d., Ljubljana",0,Unverified (Unknown Upstreams),0,0
34746,AXA Insurance UK plc,0,Unverified (Unknown Upstreams),0,0
34745,TeleWare Hosted Services Ltd.,0,Unverified (Unknown Upstreams),0,0
34744,GVM Sistem 2003 SRL,0,Unverified (Unknown Upstreams),0,0
34743,NASHNET LTD,0,Safe (Unknown Upstreams),0,0
34741,Bank of Beirut s.a.l.,0,Unverified (Unknown Upstreams),0,0
34740,PC Hardware SRL,0,Unverified (Unknown Upstreams),0,0
3474,United States Department of Defense (DoD),0,Unverified (Unknown Upstreams),0,0
34739,Electronic Shield Ltd.,0,Unverified (Unknown Upstreams),0,0
34738,Webhost Limited,0,Unverified (Unknown Upstreams),0,0
34737,Qinetiq Limited,0,Unverified (Unknown Upstreams),0,0
34736,TOYOTA OTOMOTIV SANAYI TURKIYE A.S.,0,Unverified (Unknown Upstreams),0,0
34735,LKW Walter Internationale Transportorganisation AG,0,Unverified (Unknown Upstreams),0,0
34734,A&F Networks B.V.,0,Unverified (Unknown Upstreams),0,0
34731,Archimedia SRL,0,Unverified (Unknown Upstreams),0,0
34730,Bank Gospodarstwa Krajowego,0,Unverified (Unknown Upstreams),0,0
3473,United States Department of Defense (DoD),0,Unverified (Unknown Upstreams),0,0
34729,Veho Baltics OU,0,Unverified (Unknown Upstreams),0,0
34728,Cinven Services Limited,0,Unverified (Unknown Upstreams),0,0
34727,IPEFIX SARL,0,Unverified (Unknown Upstreams),0,0
34724,BAU NETWORKS DOO TORNJOS,0,Unverified (Unknown Upstreams),0,0
34723,Real Network and Tel SRL,0,Unverified (Unknown Upstreams),0,0
34722,rku.it GmbH,0,Unverified (Unknown Upstreams),0,0
34720,Chumak plc,0,Unverified (Unknown Upstreams),0,0
3472,United States Department of Defense (DoD),0,Unverified (Unknown Upstreams),0,0
34719,4EverBUSINESS Sp. z o.o.,0,Unverified (Unknown Upstreams),0,0
34747,"PJSC ""Vimpelcom""",0,Unverified (Unknown Upstreams),0,0
34748,Telemach Hrvatska d.o.o.,0,Unverified (Unknown Upstreams),0,0
34749,GLOBAL SERVICE PROVIDER S.A.,0,SECURE (Active Local ROV),1,2
