asn,name,cone,verdict,dirty,total
3462,HiNet (Chunghwa Telecom),129,SECURE (Active Local ROV),2,4
55002,"F5, Inc.",123,SECURE (Active Local ROV),3,3
16509,"Amazon.com, Inc.",118,SECURE (Active Local ROV),10,20
3399,Obenet AB,117,SECURE (Full Coverage),0,3
7575,Australian Academic and Research Network (AARNet),110,SECURE (Active Local ROV),3,5
29208,"Quantcom, a.s.",110,SECURE (Active Local ROV),2,4
28343,Unifique Telecomunicações SA,109,SECURE (Active Local ROV),2,4
58224,Iran Telecommunication Company PJS,109,SECURE (Active Local ROV),3,4
33363,"Charter Communications, Inc",108,SECURE (Full Coverage),0,1
2518,BIGLOBE Inc.,106,SECURE (Active Local ROV),3,5
15576,NTS workspace AG,105,SECURE (Active Local ROV),2,5
207841,Inferno Communications Ltd,104,SECURE (Active Local ROV),3,3
3301,Telia Company AB,104,SECURE (Full Coverage),0,1
262462,Aranet Play,101,PARTIAL (Mixed Feeds),2,3
262761,Sinal Br Telecom Ltda,98,PARTIAL (Mixed Feeds),4,7
11351,Charter Communications Inc,98,SECURE (Full Coverage),0,2
3352,TELEFONICA DE ESPANA S.A.U.,96,SECURE (Active Local ROV),1,1
15895,"""Kyivstar"" PJSC",96,SECURE (Active Local ROV),1,4
12479,Orange Espagne SA,94,SECURE (Full Coverage),0,2
262740,VELOO NET LTDA,94,PARTIAL (Mixed Feeds),3,5
11426,Charter Communications Inc,93,SECURE (Full Coverage),0,1
56655,Gigahost AS,93,SECURE (Active Local ROV),1,3
29802,"HIVELOCITY, Inc.",91,SECURE (Active Local ROV),9,15
31242,P4 Sp. z o.o.,90,SECURE (Full Coverage),0,3
262476,BRCENTRAL TELECOM,87,PARTIAL (Mixed Feeds),4,6
55824,NKN Core Network,87,SECURE (Active Local ROV),2,2
262503,WIKI TELECOMUNICACOES EIRELI,86,PARTIAL (Mixed Feeds),3,5
719,Elisa Oyj,85,SECURE (Full Coverage),0,1
39351,31173 Services AB,84,SECURE (Active Local ROV),1,4
47160,MOJI SAS,81,PARTIAL (Mixed Feeds),4,6
63927,RISE,80,SECURE (Active Local ROV),3,7
8767,M-net Telekommunikations GmbH,79,SECURE (Active Local ROV),2,5
18106,Viewqwest Pte Ltd,79,SECURE (Active Local ROV),12,17
45177,Devoli,77,SECURE (Active Local ROV),3,3
12779,IT.Gate S.p.A.,76,SECURE (Active Local ROV),3,5
5483,Magyar Telekom Plc.,75,SECURE (Active Local ROV),2,4
39686,Eurofiber Nederland BV,75,SECURE (Full Coverage),0,2
37497,Network Platforms (PTY) LTD,73,SECURE (Active Local ROV),4,7
209735,Lagrange Cloud Technologies Limited,73,SECURE (Active Local ROV),1,3
27951,Media Commerce Partners S.A,65,SECURE (Active Local ROV),7,10
1759,Telia Finland Oyj,64,SECURE (Full Coverage),0,1
9145,EWE TEL GmbH,63,SECURE (Active Local ROV),1,5
2852,CESNET z.s.p.o.,62,SECURE (Active Local ROV),6,7
393577,Tritan Development,61,SECURE (Active Local ROV),2,4
5089,Virgin Media Limited,60,SECURE (Active Local ROV),1,3
17451,Biznet Networks,60,SECURE (Active Local ROV),5,9
262191,LIBERTY NETWORKS DE COLOMBIA S.A.S,60,VULNERABLE (No Coverage),1,1
600,OARnet,59,SECURE (Active Local ROV),1,4
35699,Adamo Telecom Iberia S.A.,59,PARTIAL (Mixed Feeds),3,6
16086,DNA Oyj,59,SECURE (Active Local ROV),1,4
8473,Bahnhof AB,58,SECURE (Full Coverage),0,3
11232,Midcontinent Communications,58,SECURE (Active Local ROV),2,5
262494,Virtex Telecom,57,PARTIAL (Mixed Feeds),5,6
21413,Envia Tel GmbH,57,SECURE (Active Local ROV),2,6
262773,Proxxima Telecomunicações,55,VULNERABLE (No Coverage),6,6
12271,Charter Communications Inc,55,SECURE (Active Local ROV),1,2
20207,Gigared S.A.,54,SECURE (Active Local ROV),2,5
28725,CETIN a.s.,54,SECURE (Full Coverage),0,2
9136,WOBCOM GmbH,53,SECURE (Active Local ROV),2,5
6849,"JSC ""Ukrtelecom""",52,SECURE (Active Local ROV),4,10
30990,Djibouti Telecom SA,52,SECURE (Active Local ROV),4,7
327782,Metrofibre Networx,52,SECURE (Full Coverage),0,2
29695,Lyse Tele AS,51,SECURE (Full Coverage),0,3
394177,Shift Hosting LLC,50,SECURE (Full Coverage),0,3
9268,Over The Wire Pty Ltd,50,SECURE (Active Local ROV),1,2
6661,POST Luxembourg,49,SECURE (Full Coverage),0,2
21700,"Neptune Networks, LLC",48,SECURE (Full Coverage),0,3
55666,PT Media Sarana Data,47,SECURE (Active Local ROV),9,11
1136,KPN B.V.,46,SECURE (Active Local ROV),1,4
24875,NovoServe B.V.,46,SECURE (Active Local ROV),2,7
262532,NET ONDA SERVICOS DE INTERNET LTDA,46,PARTIAL (Mixed Feeds),3,4
3262,"SAREnet, S.A.",46,SECURE (Active Local ROV),1,4
199081,Lancom Ltd.,45,SECURE (Active Local ROV),1,6
42313,ONE ALBANIA SH.A.,45,SECURE (Active Local ROV),2,4
2860,"NOS COMUNICACOES, S.A.",45,SECURE (Active Local ROV),1,3
11776,Breezeline,44,SECURE (Active Local ROV),1,2
4181,TDS TELECOM,43,SECURE (Full Coverage),0,3
29169,GANDI SAS,42,SECURE (Active Local ROV),4,7
3816,COLOMBIA TELECOMUNICACIONES S.A. ESP BIC,42,SECURE (Active Local ROV),1,1
9607,"BroadBand Tower, Inc.",42,SECURE (Active Local ROV),1,4
25400,Telia Norge AS,42,SECURE (Full Coverage),0,1
21738,Rozint,41,SECURE (Active Local ROV),1,4
8283,Netwerkvereniging Coloclue,40,SECURE (Active Local ROV),8,9
61461,Airtek Solutions C.A.,40,SECURE (Active Local ROV),5,10
1653,Vetenskapsrådet / SUNET,40,SECURE (Active Local ROV),1,1
81,MCNC,40,SECURE (Active Local ROV),2,6
36352,HostPapa,40,SECURE (Active Local ROV),4,8
25248,RADIOKOMUNIKACE a.s.,39,SECURE (Full Coverage),0,3
262468,ATEL ( Natel Telecom Ltda ),39,PARTIAL (Mixed Feeds),3,6
327693,Echotel Pty Ltd,39,VULNERABLE (No Coverage),2,2
262186,TV AZTECA SUCURSAL COLOMBIA,39,PARTIAL (Mixed Feeds),3,6
