asn,cc,name,cone,unsigned_customers,bad_pct
29076,RU,Citytelecom LLC,343,3677,42.39594142741843
4788,MY,TM Technology Services Sdn. Bhd.,149,3677,38.17087096439323
32098,US,Flō Networks (Transtelco Inc.),185,3639,40.6910432740691
13030,CH,Init7 (Switzerland) Ltd.,2223,3635,40.460819234194126
201706,RU,SERVICEPIPE LLC,158,3634,40.35087719298245
4648,NZ,Spark New Zealand,60,3625,41.29171887458708
38193,PK,Transworld Associates (Pvt.) Ltd.,148,3567,38.70862723819859
4657,SG,StarHub Ltd,163,3561,40.79505097949364
702,US,Verizon Business - EMEA,185,3507,41.0655737704918
17494,BD,Bangladesh Telegraph & Telephone Board,78,3481,34.84484484484484
4837,CN,China Unicom Backbone,103,3476,40.93746319632552
17408,TW,AboveNet Communications Taiwan,69,3443,39.72997922917148
136106,ID,PT Mega Akses Persada,535,3442,39.34613625971651
1257,EU,Tele2 Sverige AB,1161,3440,40.33298159221479
8551,IL,Bezeq International Ltd.,172,3435,40.40225829216655
17557,PK,Pakistan Telecommunication Company Limited,191,3434,39.107163193258174
135069,NZ,Feenix Communications Limited,65,3434,40.004659832246034
4800,ID,PT Aplikanusa Lintasarta,497,3429,39.72428174235404
1680,IL,Cellcom Fixed Line Communication L.P,168,3429,40.312720432635786
703,US,Verizon Business - APAC,101,3408,40.576259078461725
4775,PH,Globe Telecoms,132,3386,40.38645038167939
135607,PH,Infinivan Incorporated,162,3347,39.94033412887828
9930,MY,TIME dotCom Bhd,2469,3336,40.187929165160824
21859,US,Zenlayer Inc,941,3336,40.187929165160824
19551,US,Incapsula Inc,369,3336,40.187929165160824
18403,VN,FPT Telecom Company,281,3336,40.187929165160824
9299,PH,PLDT (Philippine Long Distance Telephone Company),279,3336,40.187929165160824
45899,VN,VNPT Corp,201,3336,40.187929165160824
45903,VN,CMC Telecom Infrastructure Company,149,3336,40.187929165160824
7552,VN,Viettel Group,146,3336,40.187929165160824
10099,HK,China Unicom Global,89,3336,40.187929165160824
4635,XX,HKIX Route Servers,1027,3335,40.17588242380436
20473,US,"The Constant Company, LLC",10696,3269,46.303116147308785
53013,BR,WIXNET DO BRASIL LTDA - ME,164,3102,60.64516129032258
22927,AR,Telefonica de Argentina,235,2907,42.19770648860502
50509,RU,Transroute.Net,354,2897,47.20547498777904
6204,RO,INTERKVM HOST SRL,192,2897,45.350657482780214
41798,KZ,JSC Transtelecom,116,2897,47.20547498777904
9198,KZ,JSC Kazakhtelecom,98,2897,47.20547498777904
35168,KZ,TNS-Plus LLP,79,2897,47.20547498777904
199599,RU,"Telecom-Birzha, LLC",93,2885,39.99168283892431
7303,AR,Telecom Argentina S.A.,278,2796,42.8768593773961
59796,SK,StormWall s.r.o.,184,2750,39.45480631276901
43298,RU,Storm Networks LLC,142,2750,39.45480631276901
4230,BR,Claro (Embratel),1073,2745,58.817227340904225
50673,NL,Serverius Holding B.V.,25290,2677,42.73627075351214
17762,IN,Tata Teleservices Maharashtra Ltd,115,2630,41.24196330562961
45820,IN,Tata Teleservices ISP,320,2618,41.509433962264154
5617,PL,Orange Polska Spolka Akcyjna,356,2589,43.72572200641783
