asn,cc,name,cone,unsigned_customers,bad_pct
28220,BR,Alares Internet,71,131,52.400000000000006
11351,US,Charter Communications Inc,91,129,81.64556962025317
62943,US,Bluebird Network,70,124,64.24870466321244
3758,SG,SingNet,93,122,63.541666666666664
263432,BR,CORPORATIVA TELECOMUNICACOES EIRELI ME,73,122,59.22330097087378
11172,MX,"Alestra, S. de R.L. de C.V.",113,121,57.61904761904761
23005,US,"SWITCH, LTD",146,120,76.43312101910828
20055,US,Ziply Fiber,161,119,50.210970464135016
12302,RO,Vodafone Romania S.A.,217,116,26.605504587155966
2854,RU,LLC Orange Business Services,108,116,66.66666666666666
33667,US,"Comcast Cable Communications, LLC",140,115,72.78481012658227
262462,BR,Aranet Play,76,115,63.888888888888886
28343,BR,Unifique Telecomunicações SA,102,114,61.29032258064516
5603,SI,"Telekom Slovenije, d.d.",159,113,32.37822349570201
33657,US,"Comcast Cable Communications, LLC",125,113,72.90322580645162
18734,MX,"Operbes, S.A. de C.V.",94,113,67.66467065868264
7015,US,"Comcast Cable Communications, LLC",166,112,54.63414634146342
3209,DE,Vodafone GmbH,132,110,44.17670682730924
11427,US,Charter Communications Inc,145,109,71.24183006535948
21497,UA,Vodafone Ukraine,132,109,49.77168949771689
2907,JP,Science Information Network,111,109,74.14965986394559
2856,GB,British Telecommunications,160,108,69.6774193548387
40264,US,Charter Communications LLC,142,108,63.905325443786985
2686,US,"AT&T Enterprises, LLC",92,108,78.26086956521739
33287,US,"Comcast Cable Communications, LLC",139,107,70.86092715231787
7016,US,"Comcast Cable Communications, LLC",111,107,71.81208053691275
262740,BR,VELOO NET LTDA,55,107,68.58974358974359
29119,ES,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL,296,105,22.245762711864405
33363,US,"Charter Communications, Inc",79,104,65.82278481012658
28186,BR,ITS TELECOMUNICACOES LTDA,88,103,54.4973544973545
201776,RU,Miranda-Media Ltd,96,102,50.0
263703,VE,VIGINET C.A (vnet),57,102,40.15748031496063
2519,JP,ARTERIA Networks Corporation,86,101,52.331606217616574
33668,US,"Comcast Cable Communications, LLC",62,101,64.74358974358975
7575,AU,Australian Academic and Research Network (AARNet),7508,100,69.44444444444444
262503,BR,WIKI TELECOMUNICACOES EIRELI,57,98,58.333333333333336
327727,UG,C-Squared Limited,125,96,61.53846153846154
53115,BR,ISPX Solucoes em Telecomunicacoes SPE Ltda,57,95,57.57575757575758
13760,US,Uniti Fiber Holdings Inc.,147,88,64.70588235294117
21949,CA,Beanfield Technologies Inc.,156,85,65.89147286821705
33132,US,Crown Castle Fiber LLC,100,85,87.62886597938144
13367,US,"Comcast Cable Communications, LLC",73,85,75.22123893805309
262191,CO,LIBERTY NETWORKS DE COLOMBIA S.A.S,52,84,43.07692307692308
62,US,CyrusOne LLC,99,81,87.09677419354838
12129,US,"123.Net, Inc.",134,78,44.827586206896555
12025,US,Iron Mountain Data Centers,91,78,82.10526315789474
33659,US,"Comcast Cable Communications, LLC",75,73,51.77304964539007
3212,SI,Telemach Slovenija d.o.o.,60,73,41.714285714285715
19037,AR,AMX Argentina S.A.,89,70,36.08247422680412
7385,US,Zayo (fka Allstream),82,70,76.92307692307693
11664,AR,Techtel LMDS Comunicaciones Interactivas S.A.,171,69,35.751295336787564
22652,CA,Videotron Ltee,3333,68,55.73770491803278
8866,BG,Vivacom Bulgaria EAD,176,67,16.666666666666664
31242,PL,P4 Sp. z o.o.,84,67,77.01149425287356
262847,BR,DBUG TELECOM LTDA,61,67,64.42307692307693
8308,PL,NAUKOWA I AKADEMICKA SIEC KOMPUTEROWA - PANSTWOWY INSTYTUT BADAWCZY,64,66,58.4070796460177
3215,FR,Orange S.A.,145,65,32.5
19009,US,Everstream Solutions LLC,68,65,70.65217391304348
6855,SK,"Slovak Telekom, a.s.",107,64,50.79365079365079
262476,BR,BRCENTRAL TELECOM,69,63,69.23076923076923
26554,US,"US Signal Company, L.L.C.",83,62,69.66292134831461
37721,BF,Virtual Technologies & Solutions,57969,60,66.66666666666666
1267,IT,WIND TRE S.P.A.,91,60,46.15384615384615
4847,CN,China Telecom Beijing Province Network,71,60,80.0
30781,FR,Free Pro SAS,11571,59,28.640776699029125
268696,BR,Tuddo Telecom Ltda.,99,59,50.427350427350426
31287,BG,IPACCT CABLE Ltd,111,58,25.217391304347824
17222,BR,MUNDIVOX DO BRASIL LTDA,63,58,77.33333333333333
2116,NO,GLOBALCONNECT AS,90,57,45.96774193548387
137366,ID,PT iForte Solusi Infotek,71,57,30.158730158730158
306,US,United States Department of Defense (DoD),61,57,96.61016949152543
28761,RU,CrimeaCom South LLC,55,57,55.33980582524271
4808,CN,China Unicom Beijing Province Network,79,56,78.87323943661971
33650,US,"Comcast Cable Communications, LLC",70,55,75.34246575342466
25899,US,LS Networks,66,54,60.0
14868,BR,Ligga Telecomunicações S.A.,66,54,72.97297297297297
58212,DE,dataforest GmbH,65,54,43.90243902439025
600,US,OARnet,57,54,96.42857142857143
7459,US,"Grande Communications Networks, LLC",52,54,56.25
7342,US,VeriSign Infrastructure & Operations,54,53,91.37931034482759
12479,ES,Orange Espagne SA,83,52,50.48543689320388
13876,US,"FiberLight, LLC",72,52,49.056603773584904
141137,ID,PT Media Cepat Indonesia,65,52,53.06122448979592
28368,BR,Wirelink (Sobralnet),288,51,66.23376623376623
4764,AU,Aussie Broadband,123,51,26.842105263157894
3301,SE,Telia Company AB,102,51,52.57731958762887
7795,US,"LUMOS Networks, Inc.",82,51,75.0
32505,US,Conterra,67,51,67.10526315789474
2687,US,"AT&T Enterprises, LLC",58,51,80.95238095238095
13977,US,Fidium,51,51,83.60655737704919
25159,RU,PJSC MegaFon,69,50,63.29113924050633
50606,PL,Horyzont Technologie Internetowe sp.z.o.o.,53,50,56.81818181818182
31042,RS,Serbia BroadBand-Srpske Kablovske mreze d.o.o.,55,49,43.75
12963,UA,"Scientific Industrial Firm ""Volz"" Ltd",85,47,52.80898876404494
3352,ES,TELEFONICA DE ESPANA S.A.U.,77,46,48.421052631578945
26801,US,"Zito Media, L.P.",58,46,60.526315789473685
5089,GB,Virgin Media Limited,55,46,50.0
44600,UA,"""GIGATRANS UKRAINE"", LLC",75,45,51.13636363636363
28716,IT,Retelit Digital Services S.p.A.,104,44,37.60683760683761
12357,ES,VODAFONE ESPANA S.A.U.,97,44,37.93103448275862
20632,RU,PJSC MegaFon,67,44,65.67164179104478
3561,US,Lumen (ex. Savvis),52,44,84.61538461538461
201054,XX,Stowarzyszenie e-Poludnie,966,43,53.086419753086425
28173,BR,Dinamica Telecomunicacoes Ltda,57,43,67.1875
17995,ID,PT iForte Global Internet,111,42,46.15384615384615
4515,HK,PCCW IMS Ltd (PCCW Business Internet Access),52,42,80.76923076923077
4608,AU,Asia Pacific Network Information Centre,451,41,82.0
8767,DE,M-net Telekommunikations GmbH,66,41,52.56410256410257
6789,RU,CRELCOM LLC,61,41,63.07692307692307
15994,HR,A1 Hrvatska d.o.o.,55,40,68.96551724137932
15557,FR,SFR SA,88,39,37.142857142857146
12695,RU,LLC Digital Network,58,39,65.0
25180,GB,Exponential-E Ltd.,53,39,63.934426229508205
5606,RO,GTS Telecom SRL,98,38,35.51401869158878
33490,US,Comcast (Portland/Spokane),58,38,62.295081967213115
36086,US,Telx,51,38,73.07692307692307
6768,UA,"""EUROTELE-PLUS"" LLC",51,38,32.47863247863248
52361,AR,ARSAT - Empresa Argentina de Soluciones Satelitales S.A.,164,35,19.662921348314608
33660,US,"Comcast Cable Communications, LLC",56,34,55.73770491803278
42337,IR,Respina Networks & Beyond PJSC,239,32,11.072664359861593
43754,IR,Asiatech Data Transmission company,143,32,11.510791366906476
719,FI,Elisa Oyj,54,32,39.02439024390244
8437,AT,Hutchison Drei Austria GmbH,59,31,54.385964912280706
3302,IT,Retelit Digital Services S.p.A.,110,30,43.47826086956522
39686,NL,Eurofiber Nederland BV,61,30,36.144578313253014
11014,AR,Metrotel,95,29,15.846994535519126
12310,RO,iNES GROUP SRL,65,28,31.818181818181817
14259,CL,Gtd Internet S.A.,63,28,31.818181818181817
8473,SE,Bahnhof AB,58,28,47.45762711864407
1759,FI,Telia Finland Oyj,55,28,45.16129032258064
12779,IT,IT.Gate S.p.A.,558,25,32.05128205128205
34779,SI,"T-2, d.o.o.",97,25,25.252525252525253
3267,RU,"SCIENTIFIC RESEARCH INSTITUTE FOR SYSTEM ANALYSIS OF THE NATIONAL RESEARCH CENTRE ""KURCHATOV INSTITUTE""",75,25,33.33333333333333
5483,HU,Magyar Telekom Plc.,70,24,29.268292682926827
268314,BR,SUPORTI TELECOM,62,24,57.14285714285714
11232,US,Midcontinent Communications,51,24,40.67796610169492
58224,IR,Iran Telecommunication Company PJS,135,21,16.93548387096774
38731,VN,Viettel - CHT Company Ltd,79,21,23.333333333333332
3170,GB,VeloxServ Communications Ltd,52,20,30.303030303030305
50304,NO,Blix Solutions AS,13794,16,39.02439024390244
8903,ES,LYNTIA NETWORKS S.A.,73,16,22.535211267605636
202766,XX,LYNTIA NETWORKS S.A.,61,16,24.615384615384617
12541,XX,LYNTIA NETWORKS S.A.,59,16,26.666666666666668
17639,PH,Converge ICT Solutions Inc.,41020,14,11.475409836065573
132280,TH,Symphony Communication (Thailand) PCL.,58,14,23.333333333333332
35699,ES,Adamo Telecom Iberia S.A.,55,14,22.950819672131146
58495,ID,PT Parsaoran Global Datatrans,143,12,21.428571428571427
4621,TH,UNINET-TH,69,12,18.75
8449,KG,"""ElCat"" Ltd.",58,12,12.244897959183673
3249,EE,Telia Eesti AS,53,12,22.22222222222222
55824,IN,NKN Core Network,89,10,9.433962264150944
45305,ID,PT Lintas Data Prima,68,9,13.043478260869565
34019,FR,Hivane Association,26520,8,25.0
8434,SE,Telenor Sverige AB,53,8,22.22222222222222
1103,NL,SURF B.V.,6172,7,26.923076923076923
262663,BR,METROFLEX TELECOMUNICACOES LTDA,207,7,50.0
20965,NL,GEANT Vereniging,64,7,25.925925925925924
48362,AT,Stadtwerke Feldkirch,32234,5,17.857142857142858
48185,BE,team.blue NV,23056,5,50.0
24429,CN,Alibaba Cloud,125,5,18.51851851851852
50300,GB,CustodianDC Limited,23755,4,20.0
207336,XX,Netassist SL,51,4,100.0
204092,FR,Association GRIFON,3140,2,20.0
50628,FR,Leonix Telecom SAS,2505,2,11.11111111111111
202365,TR,Chronos,1127,2,16.666666666666664
42020,LB,OGERO,132,2,1.4388489208633095
56662,XX,Marcin Gondek,18386,1,100.0
49673,RU,Truenetwork LLC,8240,1,33.33333333333333
212508,IT,Lowhosting services of Davide Gennari,633,1,25.0
328977,KE,Wavex Internet Service Provider LTD,162,1,50.0
3573,US,Accenture LLP,118,1,100.0
136907,HK,Huawei Cloud,58,1,100.0
3333,NL,Reseaux IP Europeens Network Coordination Centre (RIPE NCC),16345,0,0.0
59919,IT,Brainbox S.r.l.,820,0,0.0
1403,CA,EBOX,601,0,0.0
61292,NO,Blix Group AS,470,0,0.0
20940,NL,Akamai International B.V.,238,0,0.0
20205,US,"Amplex Electric, Inc.",176,0,0.0
52055,XX,NetIX Communications JSC,84,0,0.0
149994,BD,Rego Communications Ltd,79,0,0.0
