Rank,ASN,Cone_Size,Node_Degree,Direct_Customers
245,58224,135,99,98
246,45899,135,149,118
247,36236,135,114,89
248,55685,134,120,105
249,11427,134,121,118
250,15694,134,120,110
251,15924,133,127,117
252,52925,133,116,105
253,42020,132,106,104
254,41051,131,117,114
255,54994,131,104,30
256,29075,130,104,95
257,50384,130,69,59
258,45117,130,93,85
259,1820,130,94,87
260,2856,129,127,120
261,33667,128,128,123
262,21497,127,79,70
263,58715,126,102,79
264,12129,126,98,88
265,4775,126,155,114
266,20940,125,131,53
267,52025,125,101,77
268,34224,122,119,102
269,8167,122,88,70
270,4764,122,132,118
271,8400,121,91,83
272,7552,120,134,101
273,12400,119,111,95
274,28329,118,95,84
275,26615,118,79,54
276,41798,116,69,64
277,17378,115,121,113
278,6830,115,80,47
279,9930,115,110,82
280,45147,114,76,65
281,28126,113,89,78
282,44324,113,95,73
283,40264,112,111,107
284,6730,112,115,110
285,16019,111,87,82
286,9790,107,80,71
287,2711,107,86,80
288,28260,105,81,72
289,2907,105,103,96
290,62255,104,67,49
291,2152,104,87,82
292,31287,103,97,89
293,7015,103,107,103
294,6855,103,105,98
295,24534,102,88,79
296,11172,102,98,87
297,139901,102,92,66
298,3758,101,99,91
299,7470,101,98,91
300,7575,100,108,97
301,7922,100,88,46
302,57866,100,89,78
303,28716,100,80,68
304,201776,100,76,71
305,13760,99,102,98
306,2519,99,85,72
307,8772,99,91,84
308,16509,98,121,95
309,134654,98,87,70
310,29802,98,89,66
311,12357,98,89,87
312,262907,97,75,65
313,8151,97,110,97
314,28343,96,78,71
315,268696,96,79,71
316,2854,96,107,94
317,3301,95,96,95
318,202,94,76,73
319,394684,94,65,59
320,199599,94,78,72
321,25091,93,80,67
322,39737,93,93,82
323,9198,93,85,66
324,49915,93,105,86
325,17995,92,97,92
326,17439,91,60,51
327,21574,91,92,78
328,3292,90,98,88
329,33651,89,93,87
330,703,89,93,76
331,11014,89,81,75
332,63293,88,70,51
333,270735,88,66,52
334,35753,87,84,61
335,2686,87,94,77
336,18734,87,94,81
337,24961,87,69,57
338,27064,87,74,72
339,28186,86,85,74
340,15557,85,93,81
341,5606,85,87,75
342,40676,85,83,65
343,17639,85,98,74
344,138128,85,81,66
345,2116,85,74,68
346,8953,84,90,81
347,22652,84,78,72
348,139317,84,78,72
349,62,84,87,82
350,1267,84,82,71
351,4455,84,91,70
352,37613,84,55,43
353,12025,83,86,80
354,262761,83,65,56
355,55824,83,79,79
356,3215,83,83,80
357,15895,83,74,65
358,56534,83,82,75
359,52554,81,68,59
360,35819,81,72,62
361,11351,81,80,79
362,12963,81,86,80
363,139341,81,101,22
364,52873,80,68,61
365,16637,80,64,43
366,13767,80,79,71
367,10103,79,83,76
368,209533,79,79,75
369,11426,79,76,74
370,34779,78,84,78
371,149994,78,67,63
372,29632,78,75,65
373,3741,78,76,56
374,2119,78,71,61
375,9829,78,82,68
376,33763,77,66,52
377,59692,77,72,51
378,52320,76,78,34
379,33287,76,77,74
380,35168,75,58,41
381,35805,75,81,71
382,26554,75,77,71
383,262462,75,76,69
384,38731,75,73,71
385,44600,75,81,73
386,137491,74,80,66
387,33132,74,74,72
388,136557,74,72,50
389,7016,74,79,74
390,47147,74,69,60
391,33657,74,79,74
392,31242,73,72,69
393,7795,72,77,72
394,262476,72,70,62
395,47605,72,69,62
396,33363,72,65,59
397,135069,72,64,53
398,45305,71,62,54
399,34309,71,63,48
400,265038,71,67,58
401,19108,71,74,68
402,6079,71,80,71
403,133296,71,74,49
404,49581,70,55,49
405,264997,70,69,59
406,4713,70,73,67
407,57463,70,66,37
408,53356,69,73,60
409,8452,69,78,56
410,17408,69,81,60
411,262847,69,60,54
412,263702,69,62,55
413,3352,68,70,68
414,4847,67,68,66
415,53013,67,55,39
416,8262,67,66,58
417,52863,67,62,47
418,45458,67,71,62
419,15305,66,56,49
420,4837,66,75,53
421,262355,65,60,49
422,9119,65,70,62
423,52872,65,57,51
424,25899,65,65,59
425,3267,65,64,60
426,262503,64,68,57
427,58057,64,72,54
428,263966,64,67,60
429,24482,64,74,42
430,12735,64,57,46
431,56258,64,74,58
432,53115,63,55,50
433,28220,63,60,49
434,33659,63,66,63
435,17665,63,51,44
436,263432,62,61,54
437,62943,62,63,60
438,4621,62,74,62
439,14868,62,58,55
440,2764,62,53,45
441,5400,62,67,51
442,12479,62,65,61
443,396998,62,62,44
444,63927,62,59,38
445,5483,62,57,50
446,32505,62,61,59
447,24429,61,82,16
448,12310,61,63,56
449,4750,61,62,60
450,58656,61,54,47
451,197068,61,64,54
452,306,61,55,54
453,8767,61,67,59
454,49800,61,68,58
455,137366,60,65,54
456,17222,60,66,58
457,29208,60,66,51
458,13876,60,65,60
459,266931,60,60,54
460,8903,60,59,55
461,17494,60,72,44
462,6789,59,65,55
463,47232,59,54,48
464,17922,59,70,53
465,35625,59,58,50
466,14259,59,58,48
467,262740,59,54,46
468,4651,59,59,28
469,5056,58,59,53
470,917,58,64,49
471,9848,58,63,49
472,58212,58,47,36
473,56655,58,58,49
474,3302,58,64,52
475,9141,58,55,50
476,196695,58,64,57
477,12695,58,59,51
478,58511,58,44,29
479,268314,57,72,39
480,28761,57,62,56
481,24198,57,64,45
482,132770,57,53,48
483,19009,57,62,56
484,35000,56,57,51
485,11796,56,54,50
486,2687,56,73,55
487,12779,56,49,42
488,201054,56,49,46
489,15994,56,63,56
490,8473,56,57,50
491,8412,55,56,50
492,4808,55,58,54
493,5578,55,60,51
494,4515,55,60,53
495,600,55,58,55
496,21320,55,45,25
497,20632,54,55,54
498,11670,54,54,43
499,4780,54,64,46
500,41095,54,63,40
501,29049,54,60,40
502,21433,54,77,10
503,209735,54,50,46
504,202766,54,55,52
505,49063,53,63,50
506,48858,53,52,38
507,35699,53,56,51
508,26042,52,61,48
509,3249,52,54,52
510,39686,52,52,46
511,35661,52,61,51
512,1759,51,52,51
513,266445,51,47,39
514,150748,51,68,51
515,29838,51,53,46
516,9507,50,52,39
517,8764,50,49,39
518,24724,50,50,41
519,24516,50,50,44
520,50606,50,50,43
521,8308,50,57,50
522,719,50,49,47
523,14789,50,64,22
524,28173,49,52,43
525,36086,49,58,49
526,52444,49,54,46
527,141137,49,58,43
528,42708,49,48,39
529,38794,49,55,49
530,25180,49,57,48
531,13194,49,54,39
532,7385,49,50,46
533,9381,49,63,44
534,137085,49,53,44
535,3561,48,51,48
536,132280,48,56,48
537,30600,48,49,45
538,6181,48,52,47
539,16086,48,53,48
540,26677,48,46,42
541,45177,48,50,44
542,27552,48,48,42
543,3170,48,49,40
544,10753,48,54,48
545,56630,48,55,33
546,12301,47,52,47
547,8849,47,70,40
548,5089,47,46,43
549,58945,47,57,44
550,28189,47,52,44
551,17451,47,59,39
552,11232,47,47,39
553,5391,47,55,43
554,262191,46,47,44
555,6424,46,53,31
556,3399,46,48,39
557,132116,46,47,37
558,263703,46,47,40
559,12271,46,52,46
560,32097,45,49,37
561,4648,45,51,36
562,8926,45,56,43
563,132215,45,44,38
564,1853,45,49,44
565,24875,45,54,45
566,34549,45,52,36
567,6849,45,52,41
568,835,45,55,43
569,208293,45,46,33
570,9145,45,49,39
571,64126,45,49,43
572,52840,44,49,41
573,13807,44,48,44
574,17433,44,62,39
575,9931,44,49,44
576,33668,44,50,44
577,44306,44,47,36
578,136334,44,45,42
579,1916,44,44,34
580,46450,44,51,42
581,43668,44,51,42
582,50629,44,53,37
583,30823,44,45,32
584,5713,44,56,39
585,23688,44,50,44
586,61621,43,50,40
587,45558,43,54,34
588,8449,43,43,38
589,52871,43,47,41
590,41313,43,47,39
591,8529,43,73,22
592,262999,43,47,39
593,48678,43,46,37
594,7459,43,50,40
595,11096,42,47,41
596,11272,42,46,41
597,19332,42,47,37
598,16713,42,42,36
599,35104,42,49,33
600,4181,42,49,42
601,43727,42,54,37
602,30517,42,48,40
603,13576,42,50,42
604,22645,42,45,42
605,63473,42,60,39
606,141731,41,46,40
607,53180,41,42,36
608,49100,41,42,40
609,42473,40,79,31
610,39386,40,66,27
611,1237,40,41,40
612,25159,40,38,37
613,55330,40,45,39
614,135718,40,45,40
615,51847,40,58,33
616,263327,40,49,37
617,6697,40,40,27
618,9425,40,41,40
619,49600,40,43,36
620,22677,40,39,37
621,38272,40,41,40
622,6661,40,42,37
623,2518,40,48,29
624,9905,39,40,36
625,6205,39,47,37
626,7725,39,43,39
627,9924,39,62,37
628,6768,39,47,38
629,4809,39,48,24
630,15440,39,42,36
631,50581,39,45,35
632,26801,39,42,39
633,27951,39,52,39
634,4922,39,41,37
635,3212,39,43,37
636,33490,39,43,39
637,21700,39,43,35
638,21413,38,46,38
639,44901,38,49,32
640,13789,38,44,36
641,33652,38,42,38
642,140641,38,48,38
643,5610,38,40,34
644,38264,38,38,35
645,266409,38,40,32
646,31898,38,81,36
647,21219,38,39,38
648,212330,38,34,29
649,34250,38,40,38
650,263073,38,42,34
651,13367,38,40,36
652,24323,38,43,38
653,2860,38,45,38
654,263774,38,39,35
655,38008,37,48,34
656,202984,37,50,29
657,135905,37,40,34
658,28458,37,49,36
659,11260,37,46,37
660,7720,37,46,35
661,40850,37,41,30
662,53158,37,43,37
663,2200,37,42,36
664,21559,37,42,37
665,19037,37,39,37
666,1653,37,35,33
667,9457,37,46,30
668,15576,37,42,34
669,266167,37,40,33
670,8492,36,46,36
671,262494,36,45,33
672,266181,36,41,31
673,81,36,41,36
674,273683,36,42,31
675,55666,36,48,36
676,49127,36,39,25
677,8595,36,40,36
678,33650,36,40,36
679,14618,36,39,36
680,13415,36,39,33
681,4812,36,41,35
682,138423,35,38,34
683,2588,35,37,35
684,45629,35,62,25
685,134823,35,50,31
686,16814,35,42,35
687,3204,35,47,33
688,31117,35,38,33
689,11492,35,34,29
690,38757,35,63,35
691,8422,35,41,32
692,30036,34,40,33
693,43061,34,39,32
694,20771,34,34,29
695,25019,34,41,33
696,27066,34,36,34
697,13249,34,37,25
698,31042,34,42,34
699,42739,34,36,30
700,9268,34,35,33
701,22356,34,57,28
702,19754,34,40,34
703,9902,34,50,31
704,12083,34,43,34
705,10099,34,60,25
706,38235,34,55,33
707,45474,33,57,28
708,5384,33,35,33
709,208972,33,44,26
710,12843,33,36,31
711,17501,33,34,33
712,33154,33,38,33
713,23352,33,46,31
714,131111,33,36,29
715,18002,33,33,27
716,6799,33,34,31
717,45352,33,52,28
718,33662,33,42,33
719,10010,33,43,32
720,63961,33,36,33
721,61138,33,43,28
722,206810,33,33,30
723,3816,33,35,31
724,12722,33,44,33
725,197103,33,34,33
726,262532,33,39,32
727,19905,33,46,33
728,293,33,40,33
729,786,33,35,27
730,24835,32,36,32
731,5488,32,33,32
732,61745,32,33,28
733,36352,32,39,28
734,56048,32,34,32
735,13329,32,34,29
736,8283,32,44,31
737,196925,32,37,25
738,31216,32,38,32
739,393577,32,43,30
740,17072,32,49,30
741,21013,32,40,30
742,28725,32,38,30
743,15836,32,32,28
744,12213,32,38,32
745,38022,32,37,32
746,8437,32,34,32
747,58678,32,37,31
748,15802,31,55,25
749,11164,31,48,26
750,28158,31,40,31
751,11758,31,37,30
752,1241,31,37,30
753,37497,31,40,29
754,29278,31,36,27
755,133524,31,34,30
756,269595,31,36,28
757,9658,31,57,31
758,151690,31,38,29
759,8932,31,40,29
760,263238,31,38,31
761,60976,31,32,31
762,203214,31,30,26
763,29695,31,35,30
764,10310,31,52,31
765,28198,31,42,27
766,31549,31,30,28
767,8434,31,33,31
768,12297,31,36,27
769,12975,31,34,28
770,149765,31,36,29
771,9808,31,38,30
772,3262,31,36,29
773,264293,30,38,29
774,14877,30,33,30
775,133720,30,32,28
776,263269,30,35,30
777,7004,30,35,28
778,50304,30,34,30
779,48648,30,35,30
780,6325,30,35,30
781,42831,30,41,30
782,327693,30,32,28
783,23404,30,35,30
784,17054,30,35,30
785,15704,30,38,30
786,55850,30,39,22
787,29465,30,36,30
788,37061,30,33,30
789,133001,30,34,28
790,5408,30,33,29
791,6667,30,37,24
792,267469,30,39,28
793,33660,30,33,30
794,11776,30,34,30
795,27947,30,41,29
796,63956,30,46,28
797,207841,30,41,30
798,394437,30,39,29
799,25184,30,34,30
800,40948,30,35,30
801,19114,30,35,30
802,12406,30,35,30
803,4768,30,33,30
804,23961,30,38,27
805,25394,29,34,27
806,55818,29,48,28
807,8501,29,28,23
808,328748,29,34,29
809,3327,29,42,28
810,53065,29,35,28
811,53427,29,40,22
812,13999,29,37,28
813,49981,29,41,29
814,196844,29,33,21
815,7782,29,34,29
816,3737,29,36,29
817,22974,29,29,27
818,263276,29,38,28
819,12337,29,38,28
820,20552,29,33,29
821,16097,28,36,28
822,263629,28,35,27
823,9886,28,46,20
824,4007,28,31,28
825,398465,28,49,23
826,9255,28,39,28
827,38182,28,43,26
828,136255,28,47,27
829,8374,28,34,28
830,45430,28,66,22
831,19151,28,36,27
832,31313,28,35,28
833,30722,28,33,28
834,16302,28,33,27
835,13977,28,31,28
836,55352,28,34,28
837,25227,28,32,28
838,139883,28,31,27
839,34718,27,28,27
840,8470,27,32,26
841,10143,27,30,27
842,668,27,30,27
843,4213,27,37,27
844,2381,27,34,27
845,28202,27,35,25
846,52974,27,32,27
847,21473,27,34,27
848,61678,27,33,27
849,41039,27,29,25
850,25645,27,35,27
851,51074,27,29,27
852,268624,27,36,20
853,20207,27,33,27
854,34772,27,36,25
855,21826,27,31,24
856,38758,27,36,27
857,3342,27,30,25
858,21050,27,29,27
859,6866,27,38,27
860,140570,26,49,24
861,136168,26,39,22
862,58299,26,38,26
863,264288,26,31,25
864,265144,26,33,24
865,30058,26,40,19
866,855,26,32,26
867,10242,26,32,25
868,210756,26,35,20
869,265061,26,29,25
870,3462,26,46,25
871,4229,26,57,12
872,35179,26,33,25
873,10430,26,27,26
874,983,26,44,24
875,16904,26,29,26
876,327782,26,35,26
877,13489,26,35,26
878,35432,26,32,23
879,51088,26,31,25
880,25454,26,33,25
881,44735,26,36,25
882,680,26,30,26
883,24940,26,39,26
884,13110,26,30,26
885,6696,26,32,24
886,7311,25,33,25
887,9063,25,32,25
888,12387,25,33,25
889,14080,25,33,25
890,264144,25,32,25
891,52587,25,31,24
892,27693,25,32,25
893,42313,25,28,21
894,237,25,30,25
895,60330,25,29,25
896,138997,25,44,18
897,24637,25,36,25
898,24186,25,30,25
899,12615,25,33,24
900,9230,25,29,25
901,45274,25,26,20
902,153068,25,31,19
903,12042,25,32,25
904,47692,25,30,24
905,266525,25,33,25
906,25956,25,27,25
907,24088,25,36,23
908,263047,24,29,22
909,263998,24,34,23
910,57681,24,27,24
911,17806,24,36,21
912,61231,24,29,24
913,55821,24,39,20
914,20141,24,31,24
915,262186,24,31,24
916,4618,24,32,24
917,138915,24,71,16
918,9505,24,45,21
919,45735,24,38,22
920,55140,24,25,23
921,38203,24,30,24
922,63023,24,33,22
923,15412,24,54,18
924,48347,24,30,24
925,58463,24,31,24
926,61512,24,34,24
927,55808,24,25,24
928,212477,24,32,21
929,268925,24,26,23
930,141898,24,29,24
931,12189,24,37,24
932,24173,24,43,24
933,17621,24,30,24
934,29314,24,34,23
935,8517,24,26,24
936,15958,23,30,20
937,265377,23,33,23
938,263237,23,33,18
939,56595,23,29,23
940,6736,23,26,23
941,396356,23,52,19
942,7381,23,25,23
943,208905,23,35,23
944,6846,23,26,23
945,15108,23,25,20
946,21299,23,26,23
947,205132,23,25,23
948,27065,23,26,23
949,4270,23,25,22
950,2027,23,29,23
951,7342,23,34,23
952,137367,23,40,22
953,264996,23,30,22
954,31261,23,24,23
955,14265,23,28,23
956,22925,23,27,23
957,12849,23,32,22
958,262773,23,33,22
959,8985,23,31,23
960,41998,23,28,23
961,6057,22,36,21
962,264170,22,29,22
963,15525,22,24,22
964,44103,22,33,21
965,268689,22,29,22
966,1887,22,23,22
967,51765,22,31,21
968,24538,22,38,20
969,61049,22,29,18
970,62206,22,26,22
971,64313,22,29,22
972,47160,22,25,18
973,133385,22,32,17
974,59105,22,33,21
975,9125,22,33,22
976,48084,22,26,17
977,23956,22,29,22
978,8758,22,32,22
979,10835,22,26,21
980,25549,22,34,22
981,266520,22,33,22
982,26827,22,25,22
983,28910,22,41,18
984,396926,22,24,22
985,25248,21,24,21
986,5580,21,47,19
987,55329,21,38,17
988,39180,21,35,21
989,29405,21,32,21
990,53587,21,36,21
991,6471,21,25,21
992,26794,21,24,21
993,265442,21,25,21
994,35133,21,36,18
995,197071,21,31,21
996,50928,21,24,21
997,23838,21,25,21
998,34019,21,31,20
999,42927,21,25,21
1000,48422,21,25,20
1001,36994,21,31,19
1002,7693,21,25,20
1003,8048,21,26,21
1004,53828,21,27,21
1005,19752,21,27,20
1006,136907,21,69,10
1007,397423,21,32,19
1008,265290,21,29,21
1009,25369,21,38,21
1010,27717,21,27,21
1011,58655,21,34,20
1012,22909,21,25,21
1013,45204,21,28,21
1014,61592,21,29,20
1015,50309,21,26,21
1016,62000,21,26,14
1017,36149,21,29,21
1018,270340,21,26,20
1019,6922,20,23,20
1020,214757,20,34,17
1021,327708,20,35,16
1022,803,20,27,20
1023,33576,20,21,18
1024,40581,20,24,20
1025,33185,20,26,20
1026,327992,20,21,20
1027,5518,20,23,20
1028,28258,20,31,20
1029,17625,20,29,20
1030,24514,20,23,20
1031,38733,20,21,20
1032,8047,20,26,20
1033,266583,20,32,19
1034,23314,20,23,20
1035,20454,20,24,20
1036,2586,20,23,20
1037,25400,20,26,20
1038,264556,20,23,20
1039,20119,20,28,20
1040,32440,20,23,20
1041,9341,20,23,20
1042,271201,20,25,19
1043,24631,20,25,20
1044,45250,20,40,18
1045,15695,20,54,17
1046,264984,20,27,20
1047,26548,19,28,19
1048,18013,19,33,17
1049,29670,19,28,19
1050,23201,19,22,19
1051,15169,19,35,19
1052,22911,19,26,19
1053,27988,19,27,19
1054,7632,19,40,14
1055,16629,19,21,18
1056,138077,19,30,18
1057,8368,19,27,19
1058,62214,19,21,19
1059,9723,19,24,19
1060,22742,19,23,19
1061,37084,19,25,19
1062,8309,19,23,16
1063,23470,19,28,18
1064,6677,19,26,18
1065,135391,19,40,17
1066,376,19,24,19
1067,766,19,24,19
1068,21488,19,25,19
1069,61400,19,27,19
1070,1836,19,28,19
1071,61758,19,24,18
1072,62403,19,26,19
1073,37148,19,30,19
1074,56910,19,26,19
1075,10241,19,22,19
1076,262725,19,30,18
1077,6821,19,23,17
1078,1103,19,28,18
1079,58629,19,25,19
1080,14282,19,25,16
1081,62240,19,28,19
1082,199081,19,29,19
1083,28649,19,31,18
1084,53237,19,25,16
1085,14041,18,21,18
1086,21283,18,21,17
1087,54825,18,35,18
1088,14051,18,23,18
1089,263482,18,26,16
1090,25513,18,19,18
1091,19024,18,27,18
1092,29551,18,27,18
1093,24203,18,41,18
1094,60587,18,19,18
1095,61618,18,24,18
1096,7992,18,23,18
1097,10396,18,25,18
1098,263558,18,27,18
1099,8637,18,27,18
1100,12200,18,31,17
1101,262901,18,26,17
1102,20860,18,25,18
1103,150593,18,24,17
1104,51964,18,24,18
1105,262342,18,26,18
1106,21277,18,29,14
1107,25478,18,35,14
1108,18450,18,34,15
1109,9155,18,24,16
1110,56264,18,21,18
1111,32595,18,28,16
1112,33915,18,19,18
1113,17828,18,25,18
1114,131284,18,22,18
1115,24400,18,25,18
1116,29467,18,31,18
1117,38082,18,45,12
1118,21021,18,20,18
1119,25512,18,22,18
1120,53808,18,32,17
1121,47794,18,27,17
1122,133694,18,21,18
1123,42781,18,20,18
1124,132602,18,48,13
1125,29909,18,25,18
1126,51465,18,24,18
1127,56911,18,27,18
1128,393444,18,21,17
1129,52373,18,21,18
1130,15808,18,24,18
1131,6208,18,24,18
1132,6848,18,23,18
1133,10490,18,28,18
1134,264120,18,25,18
1135,394177,18,28,16
1136,45588,18,20,18
1137,48918,17,21,17
1138,36103,17,22,17
1139,203217,17,24,17
1140,34867,17,24,17
1141,43139,17,24,17
1142,34471,17,22,17
1143,54048,17,21,17
1144,19429,17,23,17
1145,58470,17,30,17
1146,25472,17,22,16
1147,401307,17,18,17
1148,15623,17,23,17
1149,140083,17,18,17
1150,52941,17,27,17
1151,101,17,27,17
1152,136284,17,21,17
1153,262468,17,25,17
1154,44547,17,21,17
1155,60446,17,20,17
1156,9038,17,28,17
1157,29614,17,25,17
1158,39153,17,21,15
1159,6568,17,25,17
1160,25933,17,21,17
1161,9541,17,39,17
1162,1767,17,18,17
1163,198477,17,19,17
1164,39642,17,22,17
1165,133676,17,25,16
1166,41820,17,23,16
1167,32217,17,23,17
1168,31430,17,23,16
1169,11242,17,18,17
1170,49788,17,22,17
1171,52928,17,23,17
1172,7106,17,19,17
1173,21508,17,22,17
1174,133840,17,34,14
1175,209307,17,23,15
1176,207252,17,24,17
1177,39122,17,22,16
1178,61503,17,20,17
1179,45650,17,20,17
1180,265890,17,17,17
1181,262493,17,26,16
1182,49353,17,20,17
1183,17709,17,26,17
1184,47169,17,23,17
1185,23650,17,18,17
1186,39637,17,20,17
1187,14244,17,21,17
1188,14593,17,53,11
1189,12684,17,43,16
1190,15290,17,22,17
1191,13127,17,18,17
1192,43391,16,26,16
1193,12306,16,23,16
1194,135409,16,23,14
1195,29648,16,20,16
1196,264943,16,24,16
1197,19855,16,28,16
1198,140345,16,18,16
1199,39326,16,22,16
1200,43201,16,20,16
1201,142271,16,30,16
1202,12668,16,21,16
1203,52000,16,27,16
1204,51178,16,23,16
1205,52308,16,19,16
1206,24589,16,20,16
1207,9534,16,36,15
1208,11556,16,18,16
1209,19523,16,22,16
1210,44592,16,28,15
1211,50810,16,20,16
1212,35047,16,19,16
1213,12831,16,20,16
1214,26744,16,24,16
1215,16342,16,19,16
1216,52323,16,20,16
1217,56665,16,25,16
1218,46208,16,21,16
1219,24521,16,24,16
1220,133275,16,22,16
1221,5078,16,19,16
1222,2614,16,25,16
1223,13768,16,28,16
1224,14537,16,32,16
1225,1136,16,23,16
1226,41108,16,18,16
1227,55039,16,22,16
1228,3480,16,17,16
1229,270158,16,24,16
1230,197453,16,23,16
1231,29518,16,20,16
1232,21334,16,22,16
1233,3300,16,38,16
1234,268235,16,20,16
1235,51028,16,27,16
1236,38074,16,21,15
1237,328333,16,20,16
