asn,name,source,verdict,apnic_score,signed_pct,cone,dirty_upstreams
4764,Aussie Broadband,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,177,1
16019,Vodafone Czech Republic a.s.,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,176,0
57866,Fusix Networks B.V.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,173,5
2119,Telenor Norge AS,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,172,4
53667,FranTech Solutions,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,169,3
4713,NTT Communications Corporation (OCN),BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,167,1
8400,Telekom Srbija a.d.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,164,4
6667,Elisa Oyj,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,160,1
208972,GIBIRNet Iletisim,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,154,5
11427,Charter Communications Inc,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,149,3
48070,DSM (GB) Limited,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,149,2
20001,Charter Communications Inc,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,147,4
6079,RCN,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,147,1
49800,GNC-Alfa CJSC,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,144,2
36236,"NetActuate, Inc",BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,139,14
55850,Mercury NZ Limited,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,139,2
3292,TDC Holding A/S,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,129,2
3462,HiNet (Chunghwa Telecom),BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,129,3
55002,"F5, Inc.",BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,123,3
16509,"Amazon.com, Inc.",BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,118,10
3399,Obenet AB,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,117,1
29208,"Quantcom, a.s.",BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,110,2
7575,Australian Academic and Research Network (AARNet),BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,110,3
58224,Iran Telecommunication Company PJS,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,109,3
28343,Unifique Telecomunicações SA,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,109,2
33363,"Charter Communications, Inc",BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,108,1
2518,BIGLOBE Inc.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,106,3
15576,NTS workspace AG,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,105,2
207841,Inferno Communications Ltd,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,104,3
3301,Telia Company AB,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,104,0
11351,Charter Communications Inc,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,98,2
3352,TELEFONICA DE ESPANA S.A.U.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,96,1
15895,"""Kyivstar"" PJSC",BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,96,1
12479,Orange Espagne SA,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,94,1
11426,Charter Communications Inc,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,93,1
56655,Gigahost AS,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,93,1
29802,"HIVELOCITY, Inc.",BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,91,9
31242,P4 Sp. z o.o.,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,90,0
55824,NKN Core Network,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,87,2
719,Elisa Oyj,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,85,0
39351,31173 Services AB,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,84,1
47160,MOJI SAS,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,81,4
63927,RISE,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,80,3
8767,M-net Telekommunikations GmbH,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,79,2
18106,Viewqwest Pte Ltd,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,79,13
45177,Devoli,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,77,3
12779,IT.Gate S.p.A.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,76,3
5483,Magyar Telekom Plc.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,75,2
39686,Eurofiber Nederland BV,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,75,0
37497,Network Platforms (PTY) LTD,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,73,4
209735,Lagrange Cloud Technologies Limited,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,73,1
27951,Media Commerce Partners S.A,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,65,8
1759,Telia Finland Oyj,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,64,0
9145,EWE TEL GmbH,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,63,1
2852,CESNET z.s.p.o.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,62,6
393577,Tritan Development,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,61,2
17451,Biznet Networks,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,60,5
5089,Virgin Media Limited,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,60,1
35699,Adamo Telecom Iberia S.A.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,59,3
16086,DNA Oyj,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,59,1
8473,Bahnhof AB,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,58,0
11232,Midcontinent Communications,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,58,2
21413,Envia Tel GmbH,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,57,2
12271,Charter Communications Inc,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,55,2
20207,Gigared S.A.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,54,3
28725,CETIN a.s.,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,54,0
9136,WOBCOM GmbH,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,53,2
30990,Djibouti Telecom SA,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,52,5
6849,"JSC ""Ukrtelecom""",BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,52,4
29695,Lyse Tele AS,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,51,0
394177,Shift Hosting LLC,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,50,0
9268,Over The Wire Pty Ltd,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,50,1
6661,POST Luxembourg,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,49,1
21700,"Neptune Networks, LLC",BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,48,0
55666,PT Media Sarana Data,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,47,10
24875,NovoServe B.V.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,46,3
1136,KPN B.V.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,46,2
3262,"SAREnet, S.A.",BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,46,1
199081,Lancom Ltd.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,45,1
2860,"NOS COMUNICACOES, S.A.",BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,45,1
11776,Breezeline,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,44,1
4181,TDS TELECOM,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,43,0
25400,Telia Norge AS,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,42,0
9607,"BroadBand Tower, Inc.",BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,42,2
3816,COLOMBIA TELECOMUNICACIONES S.A. ESP BIC,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,42,1
29169,GANDI SAS,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,42,4
21738,Rozint,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,41,1
8283,Netwerkvereniging Coloclue,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,40,8
1653,Vetenskapsrådet / SUNET,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,40,1
36352,HostPapa,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,40,5
61461,Airtek Solutions C.A.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,40,5
25248,RADIOKOMUNIKACE a.s.,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,39,0
51088,A2B IP B.V.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,38,1
5408,National Infrastructures for Research and Technology S.A.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,38,2
6799,Ote SA (Hellenic Telecommunications Organisation),BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,38,1
29405,VNET a.s.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,36,1
6736,Institute for Research in Fundamental Sciences,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,36,1
6866,Cyprus Telecommunications Authority,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,36,2
16302,Suomi Communications Oy,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,36,2
8434,Telenor Sverige AB,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,35,0
25512,CD-Telematika a.s.,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,35,0
394256,Tech Futures Interactive Inc.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,35,4
34019,Hivane Association,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,35,6
4213,Krypt Technologies,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,35,1
