asn,name,cc,verdict,apnic_score,cone,dirty_feeds,total_feeds
199284,Thueringer Netkom GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,11,2,4
20278,"Nexeon Technologies, Inc.",XX,Transit: UNVERIFIED (Dirty Feed),-1,11,4,9
12307,Sandro Bolliger trading as Bolliger Network Solutions,XX,Transit: UNVERIFIED (Dirty Feed),-1,11,3,4
12360,KEVAG Telekom GmbH,XX,Transit: INHERITED (Clean Pipe),-1,11,0,5
37492,Orange Tunisie,XX,Transit: UNVERIFIED (Dirty Feed),-1,11,2,3
22442,"Phonoscope, Inc.",XX,Transit: UNVERIFIED (Dirty Feed),-1,11,1,2
14773,Lancaster-Lebanon Intermediate Unit 13,XX,Transit: UNVERIFIED (Dirty Feed),-1,11,3,4
40994,Alwyzon (Hohl IT),XX,Transit: UNVERIFIED (Dirty Feed),-1,10,2,5
42303,LM Layer and Mesh AB,XX,Transit: INHERITED (Clean Pipe),-1,10,0,2
141968,PT Industri Kreatif Digital,XX,Transit: UNVERIFIED (Dirty Feed),-1,10,7,7
44407,Linkt SAS,XX,Transit: INHERITED (Clean Pipe),-1,10,0,2
3662,Joint Universities Computer Centre Limited,XX,Transit: UNVERIFIED (Dirty Feed),-1,10,1,2
3663,NetNet,XX,Transit: INHERITED (Clean Pipe),-1,10,0,2
12897,ENTEGA Medianet GmbH,XX,Transit: INHERITED (Clean Pipe),-1,10,0,4
30764,PODA a.s.,XX,Transit: UNVERIFIED (Dirty Feed),-1,10,1,3
47152,Francesco Ascione trading as FIBERSIX,XX,Transit: INHERITED (Clean Pipe),-1,10,0,2
14615,"Comporium, Inc",XX,Transit: UNVERIFIED (Dirty Feed),-1,10,1,3
6893,"Saitis Network, N.Desir",XX,Transit: UNVERIFIED (Dirty Feed),-1,10,3,4
39702,S-IT Verwaltungs GmbH trading as S-IT Informationstechnologie Betreiber GmbH & Co. KG im Nordschwarzwald,XX,Transit: UNVERIFIED (Dirty Feed),-1,10,1,4
204092,Association GRIFON,XX,Transit: INHERITED (Clean Pipe),-1,10,0,2
57795,NG-BLU Networks B.V.,XX,Transit: UNVERIFIED (Dirty Feed),-1,9,2,5
8893,Artfiles New Media GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,9,1,5
25460,The Networking People (TNP) Limited,XX,Transit: UNVERIFIED (Dirty Feed),-1,9,1,3
1741,CSC - Tieteen tietotekniikan keskus Oy,XX,Transit: UNVERIFIED (Dirty Feed),-1,9,1,1
1835,Forskningsnettet - Danish NREN,XX,Transit: UNVERIFIED (Dirty Feed),-1,9,1,1
51815,GlobalConnect AB,XX,Transit: INHERITED (Clean Pipe),-1,9,0,1
273103,TV&MÁS S.A.S,XX,Transit: UNVERIFIED (Dirty Feed),-1,9,7,11
19422,Telefonica Moviles del Uruguay SA,XX,Transit: UNVERIFIED (Dirty Feed),-1,9,1,1
44097,CLEMENT CAVADORE,XX,Transit: UNVERIFIED (Dirty Feed),-1,9,3,4
35986,Vyve Broadband,XX,Transit: UNVERIFIED (Dirty Feed),-1,9,1,3
396993,Soraxus Networks Inc.,XX,Transit: UNVERIFIED (Dirty Feed),-1,9,2,5
12540,IdecNet S.A.,XX,Transit: UNVERIFIED (Dirty Feed),-1,9,1,3
29152,Decknet SARL,XX,Transit: UNVERIFIED (Dirty Feed),-1,9,1,3
12941,intersaar GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,9,2,5
23031,TELECU TELECOMUNICACIONES DEL ECUADOR TELECUSA S.A.S.,XX,Transit: UNVERIFIED (Dirty Feed),-1,9,8,10
39421,Sapinet SAS,XX,Transit: INHERITED (Clean Pipe),-1,9,0,2
40702,Clearwave Communications,XX,Transit: INHERITED (Clean Pipe),-1,9,0,2
214443,BE BYTE SRL,XX,Transit: INHERITED (Clean Pipe),-1,8,0,3
42615,June Slater,XX,Transit: INHERITED (Clean Pipe),-1,8,0,3
1930,"Fundacao para a Ciencia e a Tecnologia, I.P.",XX,Transit: UNVERIFIED (Dirty Feed),-1,8,1,2
2018,TENET (The UNINET Project),XX,Transit: UNVERIFIED (Dirty Feed),-1,8,2,3
35592,Coolhousing s.r.o.,XX,Transit: UNVERIFIED (Dirty Feed),-1,8,1,2
35807,SkyNet Ltd.,XX,Transit: INHERITED (Clean Pipe),-1,8,0,2
12676,HKN GmbH,XX,Transit: INHERITED (Clean Pipe),-1,8,0,5
13045,htp GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,8,1,4
29550,Team Blue Carrier Limited,XX,Transit: UNVERIFIED (Dirty Feed),-1,8,2,5
15085,"Immedion, LLC",XX,Transit: UNVERIFIED (Dirty Feed),-1,8,3,5
48101,Trooli Ltd.,XX,Transit: UNVERIFIED (Dirty Feed),-1,8,1,3
16117,Gavle Energi AB,XX,Transit: UNVERIFIED (Dirty Feed),-1,8,1,1
24309,Atria Convergence Technologies,XX,Transit: UNVERIFIED (Dirty Feed),-1,8,2,2
8075,Microsoft Corporation,XX,Transit: UNVERIFIED (Dirty Feed),-1,8,8,17
196610,DE-CIX Academy,XX,Transit: UNVERIFIED (Dirty Feed),-1,7,1,2
8542,Eviny Fiber AS,XX,Transit: UNVERIFIED (Dirty Feed),-1,7,1,1
559,SWITCH,XX,Transit: UNVERIFIED (Dirty Feed),-1,7,2,6
49791,Newserverlife LLC,XX,Transit: UNVERIFIED (Dirty Feed),-1,7,1,3
213768,Thomas Neumann,XX,Transit: UNVERIFIED (Dirty Feed),-1,7,2,2
9158,Telenor A/S,XX,Transit: INHERITED (Clean Pipe),-1,7,0,3
9312,xTom,XX,Transit: UNVERIFIED (Dirty Feed),-1,7,2,2
214331,Teske Virtual System Ltda,XX,Transit: UNVERIFIED (Dirty Feed),-1,7,2,4
206610,Mixvoip S.A.,XX,Transit: UNVERIFIED (Dirty Feed),-1,7,1,4
2107,ARNES,XX,Transit: UNVERIFIED (Dirty Feed),-1,7,1,3
2602,Fondation RESTENA,XX,Transit: UNVERIFIED (Dirty Feed),-1,7,2,3
395823,doof.net,XX,Transit: INHERITED (Clean Pipe),-1,7,0,2
43957,WNT Telecommunication GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,7,1,3
45014,Nuco Technologies Ltd,XX,Transit: UNVERIFIED (Dirty Feed),-1,7,1,4
28760,Infotech EDV-Systeme GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,7,2,3
12480,ILK Internet.Gmbh,XX,Transit: INHERITED (Clean Pipe),-1,7,0,4
20686,Bisping & Bisping GmbH & Co KG,XX,Transit: UNVERIFIED (Dirty Feed),-1,7,2,4
12502,Dr.-Ing. Nepustil & Co. GmbH Internet Service Center Ingenieurgesellschaft fuer Systemsoftware und Kommunikationstechnik,XX,Transit: UNVERIFIED (Dirty Feed),-1,7,1,3
21100,GREEN FLOID LLC,XX,Transit: UNVERIFIED (Dirty Feed),-1,7,6,7
4760,HKT Limited,XX,Transit: UNVERIFIED (Dirty Feed),-1,7,2,2
37529,Gestora de Infraestructuras de Telecomunicaciones de Guinea Ecuatorial,XX,Transit: UNVERIFIED (Dirty Feed),-1,7,1,4
209847,WorkTitans B.V.,XX,Transit: UNVERIFIED (Dirty Feed),-1,7,24,34
62425,Mailbox Internet Hizmetleri Ltd. Sti.,XX,Transit: UNVERIFIED (Dirty Feed),-1,7,1,1
62563,GLOBALTELEHOST Corp.,XX,Transit: UNVERIFIED (Dirty Feed),-1,7,1,3
13781,Hopkinsville Electric System,XX,Transit: UNVERIFIED (Dirty Feed),-1,7,3,5
202359,AS207960 Cyfyngedig,XX,Transit: UNVERIFIED (Dirty Feed),-1,7,1,1
6315,"XMission, L.C.",XX,Transit: UNVERIFIED (Dirty Feed),-1,7,3,7
399898,Conexon Connect,XX,Transit: INHERITED (Clean Pipe),-1,7,0,3
39521,TNGNET B.V.,XX,Transit: UNVERIFIED (Dirty Feed),-1,7,2,5
211623,NAML B.V.,XX,Transit: UNVERIFIED (Dirty Feed),-1,7,3,4
212123,Jori Vanneste,XX,Transit: UNVERIFIED (Dirty Feed),-1,7,4,7
15605,Connesi S.p.A.,XX,Transit: UNVERIFIED (Dirty Feed),-1,7,3,6
24183,DTS LTD,XX,Transit: INHERITED (Clean Pipe),-1,7,0,1
8315,Accenture B. V.,XX,Transit: UNVERIFIED (Dirty Feed),-1,6,1,3
224,Sikt (Uninett),XX,Transit: UNVERIFIED (Dirty Feed),-1,6,1,1
33083,AxcelX Technologies LLC,XX,Transit: UNVERIFIED (Dirty Feed),-1,6,2,4
205235,Labitat,XX,Transit: INHERITED (Clean Pipe),-1,6,0,1
25192,"CZ.NIC, z.s.p.o.",XX,Transit: UNVERIFIED (Dirty Feed),-1,6,9,13
8820,tal.de GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,6,2,6
8823,Rockenstein AG,XX,Transit: UNVERIFIED (Dirty Feed),-1,6,4,5
25291,SysEleven GmbH,XX,Transit: INHERITED (Clean Pipe),-1,6,0,1
26006,Exodo LLC,XX,Transit: UNVERIFIED (Dirty Feed),-1,6,1,3
42652,inexio Informationstechnologie und Telekommunikation Gmbh,XX,Transit: UNVERIFIED (Dirty Feed),-1,6,1,1
59414,cloudscale.ch AG,XX,Transit: UNVERIFIED (Dirty Feed),-1,6,2,4
59678,SYSTEM36 LLC,XX,Transit: UNVERIFIED (Dirty Feed),-1,6,2,3
150000,Data-Beam Business Solution,XX,Transit: UNVERIFIED (Dirty Feed),-1,6,2,5
35600,Vedege SAS,XX,Transit: UNVERIFIED (Dirty Feed),-1,6,1,3
199860,ATOMDATA JSC,XX,Transit: UNVERIFIED (Dirty Feed),-1,6,2,4
200462,"Lennart Seitz trading as ""ETH-Services""",XX,Transit: UNVERIFIED (Dirty Feed),-1,6,3,8
61337,Single Mode Networks Ltd,XX,Transit: UNVERIFIED (Dirty Feed),-1,6,1,2
151704,BHARAT DATACENTER,XX,Transit: UNVERIFIED (Dirty Feed),-1,6,2,2
21183,Vodafone Albania (fka. Abcom),XX,Transit: INHERITED (Clean Pipe),-1,6,0,2
29974,Wightman Telecom,XX,Transit: UNVERIFIED (Dirty Feed),-1,6,1,3
5459,London Internet Exchange Ltd.,XX,Transit: UNVERIFIED (Dirty Feed),-1,6,1,3
210464,ANDREW KRISTULI,XX,Transit: UNVERIFIED (Dirty Feed),-1,6,2,2
14371,Paul Bunyan Communications,XX,Transit: INHERITED (Clean Pipe),-1,6,0,3
39699,Lounea Palvelut Oy,XX,Transit: UNVERIFIED (Dirty Feed),-1,6,1,2
15502,Vodafone Ireland Limited,XX,Transit: UNVERIFIED (Dirty Feed),-1,6,1,2
49605,Digital Telecommunication Services S.r.l.,XX,Stub: UNVERIFIED (Dirty Feed),-1,5,1,2
197706,Keminet SHPK,XX,Stub: UNVERIFIED (Dirty Feed),-1,5,2,3
1213,HEAnet CLG,XX,Stub: UNVERIFIED (Dirty Feed),-1,5,1,3
1403,EBOX,XX,Stub: UNVERIFIED (Dirty Feed),-1,5,1,4
34820,DELTA ONLINE spol. s r.o.,XX,Stub: UNVERIFIED (Dirty Feed),-1,5,1,2
215085,Maik Polman trading as PixelHosting,XX,Stub: UNVERIFIED (Dirty Feed),-1,5,2,3
215147,Schleyer-EDV UG,XX,Stub: UNVERIFIED (Dirty Feed),-1,5,3,4
207003,Web1 Oy,XX,Stub: INHERITED (Clean Pipe),-1,5,0,2
35008,"Kerfuffle, LLC",XX,Stub: UNVERIFIED (Dirty Feed),-1,5,1,3
35132,Enivest AS,XX,Stub: UNVERIFIED (Dirty Feed),-1,5,1,1
51929,Advania Sverige AB,XX,Stub: UNVERIFIED (Dirty Feed),-1,5,1,1
134148,SingAREN,XX,Stub: UNVERIFIED (Dirty Feed),-1,5,4,5
207995,Lightning Fibre,XX,Stub: UNVERIFIED (Dirty Feed),-1,5,1,4
20545,Georgian Research and Educational Networking Association (GRENA),XX,Stub: UNVERIFIED (Dirty Feed),-1,5,1,2
28768,Alpilink Cloud S.A.S.,XX,Stub: UNVERIFIED (Dirty Feed),-1,5,1,4
12414,Solcon Internetdiensten B.V.,XX,Stub: UNVERIFIED (Dirty Feed),-1,5,1,3
45355,Digicel Fiji Limited,XX,Stub: UNVERIFIED (Dirty Feed),-1,5,2,2
37611,Afrihost (Pty) Ltd,XX,Stub: UNVERIFIED (Dirty Feed),-1,5,2,2
22611,"InMotion Hosting, Inc.",XX,Stub: UNVERIFIED (Dirty Feed),-1,5,2,6
203020,HostRoyale Technologies Pvt Ltd,XX,Stub: UNVERIFIED (Dirty Feed),-1,5,6,6
211301,Collin Schneeweiss trading as Unesty Company,XX,Stub: UNVERIFIED (Dirty Feed),-1,5,2,2
6881,NIX.CZ z.s.p.o.,XX,Stub: UNVERIFIED (Dirty Feed),-1,5,1,4
57388,I.B.C - Telecom Sh.p.k.,XX,Stub: INHERITED (Clean Pipe),-1,4,0,1
24679,kyberio GmbH,XX,Stub: UNVERIFIED (Dirty Feed),-1,4,1,4
327934,SOCIETE NATIONALE DES TELECOMMUNICATIONS (Tunisie Telecom),XX,Stub: INHERITED (Clean Pipe),-1,4,0,1
25424,CEZNET s.r.o.,XX,Stub: UNVERIFIED (Dirty Feed),-1,4,1,4
50469,Peer Kohlstetter trading as Hessenkom GmbH & Co. KG,XX,Stub: UNVERIFIED (Dirty Feed),-1,4,1,7
1547,"INTERDNESTRKOM, Sovmestnoe Zakrytoe Aktsionernoe Obshchestvo",XX,Stub: UNVERIFIED (Dirty Feed),-1,4,6,12
42598,Merk Solutions sp. z o.o.,XX,Stub: INHERITED (Clean Pipe),-1,4,0,1
42695,Cleura AB,XX,Stub: INHERITED (Clean Pipe),-1,4,0,5
34606,B.B.Bell SPA,XX,Stub: UNVERIFIED (Dirty Feed),-1,4,1,2
34683,TELKEA TELECOM SA,XX,Stub: INHERITED (Clean Pipe),-1,4,0,2
51468,One.com A/S,XX,Stub: INHERITED (Clean Pipe),-1,4,0,2
59790,Marco Bungalski GmbH,XX,Stub: UNVERIFIED (Dirty Feed),-1,4,1,3
51691,F-Solutions Oy,XX,Stub: INHERITED (Clean Pipe),-1,4,0,2
51692,Steven Smith trading as HyberHost,XX,Stub: UNVERIFIED (Dirty Feed),-1,4,1,1
59890,Kabel-TV Lampert GmbH & Co KG,XX,Stub: UNVERIFIED (Dirty Feed),-1,4,2,5
35612,EOLO S.p.A.,XX,Stub: UNVERIFIED (Dirty Feed),-1,4,1,4
11170,Roller Network LLC,XX,Stub: INHERITED (Clean Pipe),-1,4,0,1
3221,Estonian Education and Research Network,XX,Stub: UNVERIFIED (Dirty Feed),-1,4,2,4
200185,Aruba S.p.A.,XX,Stub: UNVERIFIED (Dirty Feed),-1,4,1,4
20292,miriquidi networks GmbH,XX,Stub: INHERITED (Clean Pipe),-1,4,0,2
12119,ITV-3,XX,Stub: UNVERIFIED (Dirty Feed),-1,4,1,3
12322,Free SAS,XX,Stub: UNVERIFIED (Dirty Feed),-1,4,1,4
12381,Resilans AB,XX,Stub: INHERITED (Clean Pipe),-1,4,0,2
209049,MICHCOM LIMITED,XX,Stub: UNVERIFIED (Dirty Feed),-1,4,3,3
209090,Association Stolon,XX,Stub: UNVERIFIED (Dirty Feed),-1,4,1,2
200950,Lyratris Limited,XX,Stub: UNVERIFIED (Dirty Feed),-1,4,3,4
4474,"TCT West, Inc.",XX,Stub: UNVERIFIED (Dirty Feed),-1,4,1,4
12886,LEW TelNet GmbH,XX,Stub: UNVERIFIED (Dirty Feed),-1,4,1,2
13037,Zen Internet Ltd,XX,Stub: UNVERIFIED (Dirty Feed),-1,4,2,3
29600,Latvenergo,XX,Stub: UNVERIFIED (Dirty Feed),-1,4,1,1
152605,Z COM NETWORKS,XX,Stub: UNVERIFIED (Dirty Feed),-1,4,1,1
398395,PureVoltage Hosting Inc.,XX,Stub: UNVERIFIED (Dirty Feed),-1,4,1,2
5482,AllPoints Fibre Limited,XX,Stub: UNVERIFIED (Dirty Feed),-1,4,1,3
5645,"TekSavvy Solutions, Inc.",XX,Stub: UNVERIFIED (Dirty Feed),-1,4,1,3
14061,DigitalOcean LLC,XX,Stub: UNVERIFIED (Dirty Feed),-1,4,7,11
38826,Infinite Networks Pty Ltd,XX,Stub: UNVERIFIED (Dirty Feed),-1,4,1,2
47242,Host SpA,XX,Stub: UNVERIFIED (Dirty Feed),-1,4,1,4
30971,nic.at GmbH,XX,Stub: UNVERIFIED (Dirty Feed),-1,4,3,4
55736,Dataknox Pty Limited,XX,Stub: UNVERIFIED (Dirty Feed),-1,4,1,1
31272,WildPark Co,XX,Stub: INHERITED (Clean Pipe),-1,4,0,2
56381,level66.network UG (haftungsbeschraenkt),XX,Stub: INHERITED (Clean Pipe),-1,4,0,3
56457,FASTPATH IKE,XX,Stub: UNVERIFIED (Dirty Feed),-1,4,1,3
15743,net.de AG,XX,Stub: INHERITED (Clean Pipe),-1,4,0,4
204279,Eltrona Interdiffusion S.A.,XX,Stub: INHERITED (Clean Pipe),-1,4,0,2
204471,2S Computers SRL,XX,Stub: UNVERIFIED (Dirty Feed),-1,4,1,4
3,Massachusetts Institute of Technology,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,8,11
57356,Highland Network Ltd,XX,Stub: INHERITED (Clean Pipe),-1,3,0,1
327849,DIRECTEL COMMUNICATIONS (PTY) LTD,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,3,4
24757,Ethio telecom,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,5,5
49420,Aplitt Sp. z o.o.,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,2,4
196954,Epcan GmbH,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,5
57944,IP-Connect LLC,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,2,3
25198,INTERKVM HOST (ZetServers),XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,1
49798,BBX s.r.o.,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,1
25229,"Limited Liability Company ""KYIVSKI TELEKOMUNIKATSIYNI MEREZHI""",XX,Stub: INHERITED (Clean Pipe),-1,3,0,1
25273,Broadcasting Center Europe (an RTL Group Company),XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,4
49855,PLUTEX GmbH,XX,Stub: INHERITED (Clean Pipe),-1,3,0,2
33582,Digicel St.Lucia Ltd,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,1
33604,Burlington Telecom,XX,Stub: INHERITED (Clean Pipe),-1,3,0,2
41872,GIB-Solutions AG,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,2,4
1003,andrewnet,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,4,6
328856,VIJIJI CONNECT LIMITED,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,3,3
50332,SQUILD GmbH,XX,Stub: INHERITED (Clean Pipe),-1,3,0,2
206186,Stowarzyszenie e-Poludnie,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,3
206548,ZCOM.cz s.r.o,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,3
34554,Antares Kommunikationstechnik AG,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,2,3
34555,C.C.S. (Leeds) Ltd,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,2
34758,Axera SpA,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,3
10214,Pentanet Limited,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,2,2
51225,Armenian internet traffic exchange 'Armix' foundation,XX,Stub: INHERITED (Clean Pipe),-1,3,0,1
10279,"West Carolina Communications, LLC",XX,Stub: INHERITED (Clean Pipe),-1,3,0,2
51248,Host-Telecom.com s.r.o.,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,5
51333,Arcolink Telecomunicazioni S.r.l.,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,2
207176,OPENFIBER B.V.,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,2,4
35258,akquinet outsourcing gGmbH,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,4
207375,Fiber Operator B.V.,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,2
215605,Shams Hanna trading as InformatiQ,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,2,4
43619,Association pour l'union des reseaux des residences etudiantes (AURORE),XX,Stub: UNVERIFIED (Dirty Feed),-1,3,2,2
60163,KEKLOLWTF AS,XX,Stub: INHERITED (Clean Pipe),-1,3,0,1
2857,Johannes Gutenberg-Universitaet Mainz,XX,Stub: INHERITED (Clean Pipe),-1,3,0,3
3130,RGnet OU,XX,Stub: INHERITED (Clean Pipe),-1,3,0,3
44133,IPAX GmbH,XX,Stub: INHERITED (Clean Pipe),-1,3,0,1
3333,Reseaux IP Europeens Network Coordination Centre (RIPE NCC),XX,Stub: INHERITED (Clean Pipe),-1,3,0,5
44431,OmniAccess S.L.,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,4
60841,BerryByte Limited,XX,Stub: INHERITED (Clean Pipe),-1,3,0,3
397097,"Infrastructure Management Associates, Inc.",XX,Stub: INHERITED (Clean Pipe),-1,3,0,1
44973,Rechenzentrum Hassfurt GmbH,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,3
20412,Clarity Telecom LLC,XX,Stub: INHERITED (Clean Pipe),-1,3,0,3
36914,Kenya Education Network,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,3
12392,VOO S.A.,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,2
12496,Infinity Developments Limited,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,2
20694,NMMN New Media Markets & Networks IT-Services GmbH,XX,Stub: INHERITED (Clean Pipe),-1,3,0,2
20965,GEANT Vereniging,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,2,2
29182,JSC IOT,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,4,7
201290,BlackGATE B.V.,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,3,4
29287,Wien Energie GmbH,XX,Stub: INHERITED (Clean Pipe),-1,3,0,1
21107,Blicnet d.o.o.,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,3
135918,VIET DIGITAL TECHNOLOGY LIABILITY COMPANY,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,2
62217,Vinters IT Ltd,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,3,6
13092,Akademska mreza Republike Srbije - AMRES,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,2,2
54148,Dynamic Quantum Networks,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,8,15
210036,Rayhaan Ahmad Jaufeerally,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,4,5
30892,DEUTSCHE TELEKOM GLOBAL BUSINESS SOLUTIONS IBERIA SL,XX,Stub: INHERITED (Clean Pipe),-1,3,0,3
399580,Radish Networks,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,2
47638,Cadence Networks Ltd,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,3,5
47689,"Pudu, LLC",XX,Stub: UNVERIFIED (Dirty Feed),-1,3,3,8
31510,Innsbrucker Kommunalbetriebe AG,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,3
39835,goetel GmbH,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,2
15366,DNS:NET Internet Service GmbH,XX,Stub: INHERITED (Clean Pipe),-1,3,0,3
15401,Orange Business Services SA,XX,Stub: INHERITED (Clean Pipe),-1,3,0,3
15435,DELTA Fiber Nederland B.V.,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,4
7247,Mojo Networks,XX,Stub: INHERITED (Clean Pipe),-1,3,0,1
15450,Alhambra Systems SA,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,2
31841,NEW KNOXVILLE TELEPHONE COMPANY,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,1
212068,Alioth Systems Limited,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,2,3
56430,Chroot Network SRL,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,3,4
212109,Squirrel Internet Ltd,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,2
48284,SWU TeleNet GmbH,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,2
15614,Dragon Internet a.s.,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,2,3
57084,Bjare Kraft ekonomisk forening,XX,Stub: INHERITED (Clean Pipe),-1,3,0,1
16125,UAB Cherry Servers,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,2,3
204666,Jiri Tlapak,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,1,2
204770,UAB Cherry Servers,XX,Stub: UNVERIFIED (Dirty Feed),-1,3,2,4
393249,University of British Columbia,XX,Stub: UNVERIFIED (Dirty Feed),-1,2,1,1
41000,Freethought Internet Limited,XX,Stub: INHERITED (Clean Pipe),-1,2,0,3
401486,RAVNIX LLC,XX,Stub: INHERITED (Clean Pipe),-1,2,0,1
196819,DEMANDO GmbH,XX,Stub: UNVERIFIED (Dirty Feed),-1,2,1,2
378,IUCC - Israel InterUniversity Computation Center,XX,Stub: UNVERIFIED (Dirty Feed),-1,2,1,1
328228,SOCIETE BENINOISE D'INFRASTRUCTURES NUMERIQUES,XX,Stub: UNVERIFIED (Dirty Feed),-1,2,1,1
8859,OSN Online Service Nuernberg GmbH,XX,Stub: INHERITED (Clean Pipe),-1,2,0,3
197301,Parknet F.M.B.A.,XX,Stub: INHERITED (Clean Pipe),-1,2,0,1
58075,X2com BV,XX,Stub: UNVERIFIED (Dirty Feed),-1,2,3,4
49985,IP4ISP z.s.p.o,XX,Stub: UNVERIFIED (Dirty Feed),-1,2,2,3
25620,COTAS LTDA.,XX,Stub: UNVERIFIED (Dirty Feed),-1,2,2,2
33885,Telenor Sverige AB,XX,Stub: INHERITED (Clean Pipe),-1,2,0,2
33932,everyWAN,XX,Stub: INHERITED (Clean Pipe),-1,2,0,2
33984,Surfplanet GmbH,XX,Stub: UNVERIFIED (Dirty Feed),-1,2,1,3
214213,"START - Sines Transatlantic Renewable & Technology Campus, S. A.",XX,Stub: UNVERIFIED (Dirty Feed),-1,2,1,3
132337,Axclusive,XX,Stub: UNVERIFIED (Dirty Feed),-1,2,2,7
206238,Freedom Internet BV,XX,Stub: UNVERIFIED (Dirty Feed),-1,2,1,2
42455,ELITE GROUP.IM LIMITED,XX,Stub: UNVERIFIED (Dirty Feed),-1,2,1,2
329325,Maxko for Gaming Development,XX,Stub: INHERITED (Clean Pipe),-1,2,0,1
42611,Full Fibre Limited,XX,Stub: UNVERIFIED (Dirty Feed),-1,2,1,2
50821,Bredband2 Stockholms Stadsnaet AB,XX,Stub: INHERITED (Clean Pipe),-1,2,0,1
26253,"South Central Communications, Inc.",XX,Stub: INHERITED (Clean Pipe),-1,2,0,2
42699,axilaris GmbH,XX,Stub: UNVERIFIED (Dirty Feed),-1,2,1,3
43037,"Seznam.cz, a.s.",XX,Stub: UNVERIFIED (Dirty Feed),-1,2,1,2
34878,Karlsruhe Institute of Technology,XX,Stub: INHERITED (Clean Pipe),-1,2,0,1
206924,Ben Cartwright-Cox,XX,Stub: UNVERIFIED (Dirty Feed),-1,2,3,6
395379,SCI REMC,XX,Stub: INHERITED (Clean Pipe),-1,2,0,2
207083,HostSlim B.V.,XX,Stub: UNVERIFIED (Dirty Feed),-1,2,1,3
207160,Factory Campus Verwaltungs-GmbH,XX,Stub: UNVERIFIED (Dirty Feed),-1,2,1,2
2486,AFNIC (Association Francaise pour le Nommage Internet en Cooperation),XX,Stub: UNVERIFIED (Dirty Feed),-1,2,2,4
133612,Vodafone Australia Pty Ltd,XX,Stub: UNVERIFIED (Dirty Feed),-1,2,1,1
