asn,verdict,notes,score_valid,score_invalid,valid_path,invalid_path,peers_cf,divergent,timestamp
31549,VULNERABLE,Invalid Prefix Reachable.,100.0,100.0,[13335],[13335],True,False,2026-01-02T07:46:28.991213+00:00
12764,VULNERABLE,Invalid Prefix Reachable.,100.0,100.0,"[12764, 8449, 13335]","[12764, 8449, 13335]",True,False,2026-01-02T07:47:57.080997+00:00
141988,VULNERABLE,Invalid Prefix Reachable.,100.0,100.0,"[141988, 58717, 13335]","[141988, 17494, 13335]",True,False,2026-01-02T07:49:54.507479+00:00
