asn,count,cone,name
200936,16,0,Chengjie Guo
398987,16,0,PhirePhly Design
26793,16,0,ICS Advanced Technologies
17639,15,41435,Converge ICT Solutions Inc.
12389,15,11307,Rostelecom PJSC
8220,15,5475,COLT
61832,15,739,Giga+ Empresas
9583,15,625,Sify Limited
61568,15,611,ALOO TELECOM - FSF TECNOLOGIA SA
17557,15,208,Pakistan Telecommunication Company Limited
199995,15,177,Omega Telecom LLC
57344,15,169,Telehouse EAD
29802,15,95,"HIVELOCITY, Inc."
4651,15,60,The Communications Authority of Thailand (CAT)
57043,15,13,HOSTKEY B.V.
56038,15,5,RackCorp
55990,15,4,Huawei Cloud Service data center
6619,15,3,SamsungSDS Inc.
60592,15,2,Gransy s.r.o.
1921,15,2,ipcom GmbH
44358,15,1,Kauno Technologijos Universitetas
206804,15,1,EstNOC OU
27983,15,1,Red Intercable Digital S.A.
26383,15,1,Baxet Group Inc.
54148,15,0,Dynamic Quantum Networks
207529,15,0,LOLINYA TECHNOLOGY LTD
21734,15,0,"Trading Technologies Intl, Inc."
26450,15,0,CTDI
208223,15,0,SHU-HAO TUNG
18880,15,0,Lam Research Corporation
26395,15,0,Johnson Controls Inc
46071,15,0,Pioneer Elabs Ltd.
25820,15,0,IT7 Networks Inc
211609,15,0,OKKO LLC
40339,15,0,Jump Trading LLC
210250,15,0,K Media Tech Ltd.
16758,15,0,"Ricoh USA, Inc."
37721,14,58102,Virtual Technologies & Solutions
20485,14,27399,TransTeleCom JSC
267613,14,403,ELETRONET S.A.
23106,14,260,American Tower Brasil
53087,14,207,TELY Ltda.
53356,14,103,Free Range Cloud Hosting Inc.
270735,14,82,COMPUTIZE NETWORK TELECOMUNICACOES LTDA
49063,14,54,Data Storage Center JSC
4229,14,36,Zenlayer Inc
135377,14,13,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED
31529,14,9,DENIC eG
34879,14,4,"OOO ""Sovremennye setevye tekhnologii"""
27712,14,3,Paulo Dias de Araujo Filho
53225,14,2,IPGLOBE INTERNET LTDA
207353,14,2,Ruform LLC
57363,14,1,CDNvideo LLC
211358,14,1,Patrizio Palumbo
