asn,cc,name,verdict,apnic_score,cone,dirty_feeds,total_feeds
35432,CY,Cablenet Communication Systems plc,Transit: ACTIVE LOCAL ROV,99.59,31,1,2
20676,DE,Plusnet GmbH,Transit: ACTIVE LOCAL ROV,99.6,30,1,4
12859,NL,BIT BV,Transit: ACTIVE LOCAL ROV,100.0,30,1,2
56911,IT,Warian S.R.L.,Transit: ACTIVE LOCAL ROV,99.38,30,4,7
13213,GB,UK-2 Limited,Transit: ACTIVE LOCAL ROV,98.8,29,3,8
1103,NL,SURF B.V.,Transit: ACTIVE LOCAL ROV,100.0,28,2,5
803,CA,Saskatchewan Telecommunications,Transit: ACTIVE LOCAL ROV,99.95,27,3,5
15943,DE,wilhelm.tel GmbH,Transit: ACTIVE LOCAL ROV,99.58,26,3,8
18001,LK,Dialog Axiata PLC.,Transit: ACTIVE LOCAL ROV,99.85,25,5,8
553,DE,BelWü,Transit: ACTIVE LOCAL ROV,99.87,24,1,5
50266,NL,Odido Netherlands B.V.,Transit: ACTIVE LOCAL ROV,100.0,24,1,5
39120,IT,Convergenze S.p.A.,Transit: ACTIVE LOCAL ROV,98.19,23,4,8
41960,NL,Nextpertise B.V.,Transit: ACTIVE LOCAL ROV,100.0,22,4,7
24521,ID,PT Data Utama Dinamika,Transit: ACTIVE LOCAL ROV,99.53,22,4,4
18809,PA,Cable Onda,Transit: ACTIVE LOCAL ROV,99.87,21,2,3
12611,DE,R-KOM Regensburger,Transit: ACTIVE LOCAL ROV,99.26,21,3,5
15623,CH,Cyberlink AG,Transit: ACTIVE LOCAL ROV,98.41,21,4,8
36925,MA,Orange Maroc,Transit: ACTIVE LOCAL ROV,99.35,20,3,4
50973,AL,Vodafone Albania Sh.A.,Transit: ACTIVE LOCAL ROV,99.71,19,1,4
8426,GB,Claranet Limited,Transit: ACTIVE LOCAL ROV,99.09,18,3,6
13285,GB,TalkTalk Communications Limited,Transit: ACTIVE LOCAL ROV,99.32,18,2,6
8585,ME,Crnogorski Telekom a.d.Podgorica,Transit: ACTIVE LOCAL ROV,98.11,17,1,1
13101,DE,TNG Stadtnetz GmbH,Transit: ACTIVE LOCAL ROV,99.33,17,1,5
32133,US,Ting Fiber Inc.,Transit: ACTIVE LOCAL ROV,99.91,17,2,4
44486,DE,"Oliver Horscht is trading as ""SYNLINQ""",Transit: ACTIVE LOCAL ROV,100.0,15,3,5
31263,IT,MYNET S.R.L.,Transit: ACTIVE LOCAL ROV,98.04,15,1,2
3132,PE,Red Cientifica Peruana,Transit: ACTIVE LOCAL ROV,99.92,14,4,7
4725,JP,SoftBank Corp.,Transit: ACTIVE LOCAL ROV,99.56,14,1,2
42184,DE,TKRZ Stadtwerke GmbH,Transit: ACTIVE LOCAL ROV,99.24,13,1,5
21263,DE,TeleData GmbH,Transit: ACTIVE LOCAL ROV,98.88,13,2,6
30851,PL,Sileman Sp. z o.o.,Transit: ACTIVE LOCAL ROV,100.0,13,3,4
41009,UA,Oleksandr Melnyk,Transit: ACTIVE LOCAL ROV,99.4,12,1,3
199284,DE,Thueringer Netkom GmbH,Transit: ACTIVE LOCAL ROV,99.79,11,2,4
20278,US,"Nexeon Technologies, Inc.",Transit: ACTIVE LOCAL ROV,99.87,11,4,9
30764,CZ,PODA a.s.,Transit: ACTIVE LOCAL ROV,99.89,10,1,3
14615,US,"Comporium, Inc",Transit: ACTIVE LOCAL ROV,99.27,10,1,3
57795,NL,NG-BLU Networks B.V.,Transit: ACTIVE LOCAL ROV,100.0,9,2,5
25460,GB,The Networking People (TNP) Limited,Transit: ACTIVE LOCAL ROV,100.0,9,1,3
1741,FI,CSC - Tieteen tietotekniikan keskus Oy,Transit: ACTIVE LOCAL ROV,100.0,9,1,1
1835,DK,Forskningsnettet - Danish NREN,Transit: ACTIVE LOCAL ROV,100.0,9,1,1
19422,UY,Telefonica Moviles del Uruguay SA,Transit: ACTIVE LOCAL ROV,99.7,9,1,1
12941,DE,intersaar GmbH,Transit: ACTIVE LOCAL ROV,100.0,9,2,5
1930,PT,"Fundacao para a Ciencia e a Tecnologia, I.P.",Transit: ACTIVE LOCAL ROV,99.15,8,1,2
2018,ZA,TENET (The UNINET Project),Transit: ACTIVE LOCAL ROV,99.87,8,2,3
13045,DE,htp GmbH,Transit: ACTIVE LOCAL ROV,99.44,8,1,4
48101,GB,Trooli Ltd.,Transit: ACTIVE LOCAL ROV,99.13,8,1,3
16117,SE,Gavle Energi AB,Transit: ACTIVE LOCAL ROV,99.43,8,1,1
8075,US,Microsoft Corporation,Transit: ACTIVE LOCAL ROV,99.81,8,8,17
8542,NO,Eviny Fiber AS,Transit: ACTIVE LOCAL ROV,100.0,7,1,1
9312,HK,xTom,Transit: ACTIVE LOCAL ROV,98.03,7,2,2
206610,LU,Mixvoip S.A.,Transit: ACTIVE LOCAL ROV,100.0,7,1,4
20686,DE,Bisping & Bisping GmbH & Co KG,Transit: ACTIVE LOCAL ROV,99.32,7,2,4
4760,HK,HKT Limited,Transit: ACTIVE LOCAL ROV,98.4,7,2,2
6315,US,"XMission, L.C.",Transit: ACTIVE LOCAL ROV,99.41,7,3,7
15605,IT,Connesi S.p.A.,Transit: ACTIVE LOCAL ROV,98.85,7,3,6
224,NO,Sikt (Uninett),Transit: ACTIVE LOCAL ROV,100.0,6,1,1
42652,DE,inexio Informationstechnologie und Telekommunikation Gmbh,Transit: ACTIVE LOCAL ROV,99.82,6,1,1
15502,IE,Vodafone Ireland Limited,Transit: ACTIVE LOCAL ROV,99.55,6,1,2
1213,IE,HEAnet CLG,Stub: ACTIVE LOCAL ROV,100.0,5,1,3
1403,CA,EBOX,Stub: ACTIVE LOCAL ROV,99.58,5,1,4
34820,SK,DELTA ONLINE spol. s r.o.,Stub: ACTIVE LOCAL ROV,99.66,5,1,2
35132,NO,Enivest AS,Stub: ACTIVE LOCAL ROV,100.0,5,1,1
207995,GB,Lightning Fibre,Stub: ACTIVE LOCAL ROV,99.12,5,1,4
20545,GE,Georgian Research and Educational Networking Association (GRENA),Stub: ACTIVE LOCAL ROV,98.75,5,1,2
12414,NL,Solcon Internetdiensten B.V.,Stub: ACTIVE LOCAL ROV,99.95,5,1,3
203020,US,HostRoyale Technologies Pvt Ltd,Stub: ACTIVE LOCAL ROV,98.94,5,6,6
25424,CZ,CEZNET s.r.o.,Stub: ACTIVE LOCAL ROV,99.85,4,1,4
50469,DE,Peer Kohlstetter trading as Hessenkom GmbH & Co. KG,Stub: ACTIVE LOCAL ROV,98.86,4,1,7
34606,IT,B.B.Bell SPA,Stub: ACTIVE LOCAL ROV,99.57,4,1,2
59790,DE,Marco Bungalski GmbH,Stub: ACTIVE LOCAL ROV,99.57,4,1,3
59890,AT,Kabel-TV Lampert GmbH & Co KG,Stub: ACTIVE LOCAL ROV,99.63,4,2,5
35612,IT,EOLO S.p.A.,Stub: ACTIVE LOCAL ROV,98.98,4,1,4
3221,EE,Estonian Education and Research Network,Stub: ACTIVE LOCAL ROV,100.0,4,2,4
12119,US,ITV-3,Stub: ACTIVE LOCAL ROV,99.98,4,1,3
12322,FR,Free SAS,Stub: ACTIVE LOCAL ROV,98.51,4,1,4
209049,SL,MICHCOM LIMITED,Stub: ACTIVE LOCAL ROV,98.99,4,3,3
4474,US,"TCT West, Inc.",Stub: ACTIVE LOCAL ROV,100.0,4,1,4
13037,GB,Zen Internet Ltd,Stub: ACTIVE LOCAL ROV,98.77,4,2,3
29600,LV,Latvenergo,Stub: ACTIVE LOCAL ROV,100.0,4,1,1
5645,CA,"TekSavvy Solutions, Inc.",Stub: ACTIVE LOCAL ROV,99.89,4,1,3
14061,US,DigitalOcean LLC,Stub: ACTIVE LOCAL ROV,99.64,4,7,11
196954,DE,Epcan GmbH,Stub: ACTIVE LOCAL ROV,99.63,3,1,5
49798,SK,BBX s.r.o.,Stub: ACTIVE LOCAL ROV,98.88,3,1,1
41872,CH,GIB-Solutions AG,Stub: ACTIVE LOCAL ROV,100.0,3,2,4
328856,KE,VIJIJI CONNECT LIMITED,Stub: ACTIVE LOCAL ROV,99.15,3,3,3
34554,CH,Antares Kommunikationstechnik AG,Stub: ACTIVE LOCAL ROV,100.0,3,2,3
34758,IT,Axera SpA,Stub: ACTIVE LOCAL ROV,99.55,3,1,3
10214,AU,Pentanet Limited,Stub: ACTIVE LOCAL ROV,100.0,3,2,2
207375,NL,Fiber Operator B.V.,Stub: ACTIVE LOCAL ROV,100.0,3,1,2
35613,CZ,FASTER CZ spol. s r.o.,Stub: ACTIVE LOCAL ROV,99.64,3,1,3
36914,KE,Kenya Education Network,Stub: ACTIVE LOCAL ROV,99.03,3,1,3
12392,BE,VOO S.A.,Stub: ACTIVE LOCAL ROV,99.4,3,1,2
12496,GB,Infinity Developments Limited,Stub: ACTIVE LOCAL ROV,99.16,3,1,2
201290,NL,BlackGATE B.V.,Stub: ACTIVE LOCAL ROV,100.0,3,3,4
135918,VN,VIET DIGITAL TECHNOLOGY LIABILITY COMPANY,Stub: ACTIVE LOCAL ROV,98.68,3,1,2
13092,RS,Akademska mreza Republike Srbije - AMRES,Stub: ACTIVE LOCAL ROV,99.88,3,2,2
47638,GB,Cadence Networks Ltd,Stub: ACTIVE LOCAL ROV,98.81,3,3,5
39835,DE,goetel GmbH,Stub: ACTIVE LOCAL ROV,99.86,3,1,2
15435,NL,DELTA Fiber Nederland B.V.,Stub: ACTIVE LOCAL ROV,99.99,3,1,4
31841,US,NEW KNOXVILLE TELEPHONE COMPANY,Stub: ACTIVE LOCAL ROV,100.0,3,1,1
48284,DE,SWU TeleNet GmbH,Stub: ACTIVE LOCAL ROV,100.0,3,1,2
15614,CZ,Dragon Internet a.s.,Stub: ACTIVE LOCAL ROV,99.78,3,2,3
204666,CZ,Jiri Tlapak,Stub: ACTIVE LOCAL ROV,99.52,3,1,2
204770,US,UAB Cherry Servers,Stub: ACTIVE LOCAL ROV,100.0,3,2,4
393249,CA,University of British Columbia,Stub: ACTIVE LOCAL ROV,99.5,2,1,1
58075,NL,X2com BV,Stub: ACTIVE LOCAL ROV,100.0,2,3,4
206238,NL,Freedom Internet BV,Stub: ACTIVE LOCAL ROV,100.0,2,1,2
35891,US,Norwood Light Broadband,Stub: ACTIVE LOCAL ROV,100.0,2,1,3
19527,US,Google LLC (Google Cloud),Stub: ACTIVE LOCAL ROV,100.0,2,15,22
44234,SK,"Gaya, s.r.o.",Stub: ACTIVE LOCAL ROV,98.83,2,2,2
27879,AR,Informática y Telecomunicaciones S.A.,Stub: ACTIVE LOCAL ROV,99.71,2,1,2
