asn,name,cc,cone,verdict,apnic_score,dirty_feeds,total_feeds
13030,Init7 (Switzerland) Ltd.,XX,2223,SECURE (Active Local ROV),-1.0,4,10
2119,Telenor Norge AS,XX,2217,SECURE (Active Local ROV),-1.0,2,12
20562,Open Peering (Broadband Hosting B.V.),XX,2209,PARTIAL (Mixed Feeds),-1.0,3,8
852,TELUS Communications Inc.,XX,2176,SECURE (Full Coverage),-1.0,0,7
52025,ParadoxNetworks Limited,XX,2085,PARTIAL (Mixed Feeds),-1.0,7,16
5511,Orange S.A.,XX,2025,CORE: PROTECTED,-1.0,0,0
64073,Vetta Online Ltd,XX,1990,SECURE (Full Coverage),-1.0,0,5
42708,Glesys AB,XX,1759,PARTIAL (Mixed Feeds),-1.0,2,11
14840,BR.DIGITAL ,XX,1632,SECURE (Active Local ROV),-1.0,1,7
12956,Telxius (Telefonica Global),XX,1484,CORE: PROTECTED,-1.0,0,0
53062,ALT | GRUPO BRASIL TECPAR,XX,1482,PARTIAL (Mixed Feeds),-1.0,1,6
46887,Crown Castle Fiber LLC,XX,1402,SECURE (Full Coverage),-1.0,0,1
1764,Next Layer Telecommunications,XX,1382,SECURE (Active Local ROV),-1.0,7,20
8359,MTS PJSC,XX,1321,PARTIAL (Mixed Feeds),14.52,1,7
29504,"Freenet Liberec, z.s.",XX,1244,PARTIAL (Mixed Feeds),-1.0,1,6
1257,Tele2 Sverige AB,XX,1161,SECURE (Full Coverage),-1.0,0,9
202365,Chronos,XX,1127,PARTIAL (Mixed Feeds),-1.0,2,7
7195,EdgeUno,XX,1125,SECURE (Active Local ROV),99.17,9,22
4766,Korea Telecom,XX,1090,SECURE (Full Coverage),0.03,0,6
20764,CJSC RASCOM,XX,1087,SECURE (Active Local ROV),-1.0,7,17
4230,Claro (Embratel),XX,1073,SECURE (Active Local ROV),-1.0,3,11
14907,Wikimedia Foundation Inc.,XX,1073,SECURE (Active Local ROV),-1.0,9,18
4635,HKIX Route Servers,XX,1027,PARTIAL (Mixed Feeds),-1.0,2,6
9049,"JSC ""ER-Telecom Holding""",XX,1008,PARTIAL (Mixed Feeds),-1.0,1,6
201054,Stowarzyszenie e-Poludnie,XX,966,SECURE (Full Coverage),-1.0,0,3
137409,GSL Networks Pty LTD,XX,954,SECURE (Active Local ROV),46.44,8,21
58717,Summit Communications Ltd,XX,953,PARTIAL (Mixed Feeds),0.22,2,9
37468,Angola Cables,XX,942,SECURE (Active Local ROV),-1.0,12,26
21859,Zenlayer Inc,XX,941,PARTIAL (Mixed Feeds),46.25,7,22
12741,Netia SA,XX,873,PARTIAL (Mixed Feeds),-1.0,3,11
34854,Staclar Carrier Ltd.,XX,871,PARTIAL (Mixed Feeds),-1.0,2,6
35598,INETCOM CARRIER LLC,XX,865,PARTIAL (Mixed Feeds),-1.0,6,15
59919,Brainbox S.r.l.,XX,820,PARTIAL (Mixed Feeds),-1.0,1,6
34800,Securebit AG,XX,802,PARTIAL (Mixed Feeds),-1.0,4,9
60068,Datacamp Limited (CDN77 / DataPacket),XX,760,SECURE (Active Local ROV),0.14,5,20
3223,Voxility LLP,XX,760,PARTIAL (Mixed Feeds),-1.0,11,22
13786,"Seaborn (Seabras USA, LLC)",XX,753,SECURE (Active Local ROV),-1.0,3,12
209,Lumen (ex. Qwest),XX,701,CORE: PROTECTED,-1.0,0,0
3549,Lumen (fka. Global Crossing),XX,700,SECURE (Full Coverage),94.65,0,1
23764,China Telecom Global,XX,678,PARTIAL (Mixed Feeds),-1.0,12,25
55720,Gigabit Hosting Sdn Bhd,XX,657,SECURE (Full Coverage),10.14,0,6
61832,Giga+ Empresas,XX,653,PARTIAL (Mixed Feeds),-1.0,1,7
212508,Lowhosting services of Davide Gennari,XX,633,PARTIAL (Mixed Feeds),-1.0,4,7
9583,Sify Limited,XX,623,PARTIAL (Mixed Feeds),-1.0,10,19
1403,EBOX,XX,601,SECURE (Full Coverage),-1.0,0,8
577,Bell Canada,XX,571,SECURE (Full Coverage),-1.0,0,8
61568,ALOO TELECOM - FSF TECNOLOGIA SA,XX,569,PARTIAL (Mixed Feeds),-1.0,1,7
9318,SK Broadband Co Ltd,XX,569,SECURE (Active Local ROV),0.17,2,9
1221,Telstra Limited,XX,564,SECURE (Full Coverage),-1.0,0,3
12779,IT.Gate S.p.A.,XX,558,SECURE (Active Local ROV),-1.0,13,23
30844,Liquid Intelligent Technologies ,XX,553,PARTIAL (Mixed Feeds),0.8,7,19
23520,"Columbus Networks USA, Inc.",XX,547,PARTIAL (Mixed Feeds),0.0,1,5
136106,PT Mega Akses Persada,XX,535,PARTIAL (Mixed Feeds),-1.0,8,18
22773,Cox Communications Inc.,XX,535,SECURE (Full Coverage),-1.0,0,3
37100,SEACOM Limited,XX,534,SECURE (Active Local ROV),95.11,7,20
6327,Shaw Communications,XX,528,SECURE (Full Coverage),-1.0,0,10
